# DMA(O) -- Cl in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2820 18.633138
0.2860 16.252933
0.2900 14.375473
0.2940 12.742543
0.2980 11.332974
0.3020 10.092059
0.3060 9.031066
0.3100 8.119566
0.3140 7.330249
0.3180 6.641038
0.3221 6.035485
0.3261 5.498081
0.3301 5.085774
0.3341 4.656132
0.3381 4.322391
0.3421 4.012980
0.3461 3.748892
0.3501 3.465734
0.3541 3.256539
0.3581 3.038291
0.3621 2.856632
0.3661 2.693693
0.3701 2.517200
0.3741 2.353783
0.3781 2.304098
0.3821 2.165376
0.3861 2.073951
0.3901 1.977554
0.3941 1.898494
0.3981 1.803674
0.4021 1.723929
0.4061 1.643395
0.4101 1.553036
0.4141 1.493052
0.4181 1.491484
0.4222 1.454653
0.4262 1.381498
0.4302 1.312684
0.4342 1.226851
0.4382 1.224941
0.4422 1.186654
0.4462 1.132092
0.4502 1.083831
0.4542 1.097392
0.4582 1.041462
0.4622 0.999443
0.4662 0.979168
0.4702 0.957452
0.4742 0.922569
0.4782 0.902266
0.4822 0.868430
0.4862 0.862129
0.4902 0.860120
0.4942 0.812867
0.4982 0.786732
0.5022 0.780240
0.5062 0.752549
0.5102 0.753195
0.5142 0.712388
0.5182 0.702377
0.5223 0.648659
0.5263 0.676263
0.5303 0.640215
0.5343 0.662563
0.5383 0.627460
0.5423 0.626713
0.5463 0.616639
0.5503 0.571338
0.5543 0.564117
0.5583 0.546058
0.5623 0.551604
0.5663 0.515438
0.5703 0.478217
0.5743 0.486418
0.5783 0.440798
0.5823 0.460791
0.5863 0.446475
0.5903 0.391244
0.5943 0.406293
0.5983 0.399321
0.6023 0.381194
0.6063 0.376256
0.6103 0.350243
0.6143 0.363206
0.6183 0.383238
0.6224 0.357795
0.6264 0.302522
0.6304 0.364221
0.6344 0.327534
0.6384 0.376783
0.6424 0.322865
0.6464 0.345969
0.6504 0.282443
0.6544 0.293659
0.6584 0.271947
0.6624 0.270839
0.6664 0.246879
0.6704 0.251128
0.6744 0.213111
0.6784 0.229338
0.6824 0.255762
0.6864 0.217582
0.6904 0.221424
0.6944 0.228063
0.6984 0.259059
0.7024 0.214573
0.7064 0.227710
0.7104 0.231944
0.7144 0.207027
0.7184 0.186184
0.7225 0.178819
0.7265 0.171991
0.7305 0.176999
0.7345 0.183510
0.7385 0.139534
0.7425 0.193240
0.7465 0.174650
0.7505 0.192239
0.7545 0.134929
0.7585 0.205298
0.7625 0.149926
0.7665 0.176175
0.7705 0.149508
0.7745 0.151611
0.7785 0.130014
0.7825 0.052958
0.7865 0.053052
0.7905 0.073368
0.7945 0.047929
0.7985 0.078436
0.8025 0.091441
0.8065 0.088833
0.8105 0.032130
0.8145 0.083437
0.8185 0.085613
0.8226 0.082066
0.8266 0.093378
0.8306 0.084121
0.8346 0.095559
0.8386 0.097134
0.8426 0.031553
0.8466 0.073006
0.8506 0.142471
0.8546 0.074859
0.8586 0.059375
0.8626 0.019281
0.8666 0.019584
0.8706 0.046502
0.8746 0.023042
0.8786 0.063679
0.8826 0.047711
0.8866 0.035510
0.8906 0.024633
0.8946 0.065860
0.8986 0.047534
0.9026 -0.022382
0.9066 0.040952
0.9106 0.041577
0.9146 0.056755
0.9186 0.063567
0.9227 -0.013657
0.9267 0.020116
0.9307 0.107100
0.9347 0.086266
0.9387 0.012305
0.9427 0.012593
0.9467 0.054680
0.9507 0.050432
0.9547 -0.010613
0.9587 -0.004659
0.9627 0.066835
0.9667 0.039681
0.9707 0.027507
0.9747 0.038046
0.9787 0.085896
0.9827 0.000172
0.9867 0.007209
0.9907 0.049541
0.9947 -0.030408
0.9987 0.000000
1.0027 -0.033485
1.0067 0.045462
1.0107 0.036648
1.0147 0.005279
1.0188 0.061603
1.0228 -0.017835
1.0268 0.004230
1.0308 0.022459
1.0348 0.010782
1.0388 0.063241
1.0428 0.033983
1.0468 -0.027766
1.0508 0.020803
1.0548 0.011677
1.0588 -0.010269
1.0628 -0.015369
1.0668 -0.024845
1.0708 -0.007515
1.0748 0.004400
1.0788 -0.043286
1.0828 0.025079
1.0868 -0.033873
1.0908 0.006988
1.0948 -0.020948
1.0988 0.021359
1.1028 -0.044218
1.1068 0.006911
1.1108 -0.017866
1.1148 -0.006348
1.1188 -0.037412
1.1229 -0.064841
1.1269 -0.032683
1.1309 0.002605
1.1349 -0.044046
1.1389 -0.069949
1.1429 -0.004221
1.1469 -0.007607
1.1509 -0.012015
1.1549 -0.024651
1.1589 -0.018423
1.1629 -0.035853
1.1669 0.036291
1.1709 0.004385
1.1749 -0.003203
1.1789 -0.028369
1.1829 -0.010464
1.1869 0.006976
1.1909 -0.042421
1.1949 -0.044150
1.1989 -0.026398
1.2029 -0.054595
1.2069 -0.049953
1.2109 -0.015213
1.2149 -0.001890
1.2190 -0.012540
1.2230 -0.008589
1.2270 -0.014084
1.2310 -0.025364
1.2350 0.019806
1.2390 0.013637
1.2430 0.046624
1.2470 -0.024684
1.2510 0.032003
1.2550 -0.033697
1.2590 -0.049619
1.2630 0.002392
1.2670 -0.013041
1.2710 -0.038493
1.2750 -0.022864
1.2790 -0.016549
1.2830 0.003188
1.2870 -0.080208
1.2910 -0.021188
1.2950 -0.029542
1.2990 -0.050357
1.3030 -0.018220
1.3070 0.021260
1.3110 -0.074459
1.3150 0.000324
1.3191 -0.093470
1.3231 -0.042629
1.3271 -0.039692
1.3311 0.007198
1.3351 -0.061614
1.3391 -0.027107
1.3431 -0.010291
1.3471 -0.050865
1.3511 -0.004044
1.3551 -0.037954
1.3591 -0.025012
1.3631 0.009278
1.3671 -0.015177
1.3711 -0.036534
1.3751 -0.061823
1.3791 -0.063779
1.3831 -0.040088
1.3871 -0.017628
1.3911 -0.050234
1.3951 -0.049362
1.3991 -0.059005
1.4031 -0.002963
1.4071 -0.025965
1.4111 -0.039958
1.4151 -0.058244
1.4192 -0.027947
1.4232 -0.067058
1.4272 -0.062491
1.4312 -0.042474
1.4352 -0.010555
1.4392 -0.056193
1.4432 -0.065404
1.4472 -0.072377
1.4512 -0.086024
1.4552 -0.024696
1.4592 -0.016212
1.4632 -0.047667
1.4672 -0.012408
1.4712 -0.048718
1.4752 0.013035
1.4792 -0.033850
1.4832 -0.017608
1.4872 0.010355
1.4912 -0.061338
1.4952 -0.016091
1.4992 -0.010300
1.5032 -0.094880
1.5072 -0.086331
1.5112 -0.058874
1.5152 -0.047032
1.5193 -0.105811
1.5233 -0.073401
1.5273 -0.042703
1.5313 -0.085518
1.5353 -0.029323
1.5393 -0.072827
1.5433 -0.094240
1.5473 -0.070369
