# DMA(O) -- Cl in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2828 18.618285
0.2868 16.217116
0.2908 14.233218
0.2948 12.614439
0.2988 11.159118
0.3028 9.948510
0.3068 8.875345
0.3108 7.949038
0.3148 7.167821
0.3188 6.464039
0.3227 5.858139
0.3267 5.314405
0.3307 4.817256
0.3347 4.382684
0.3387 3.990283
0.3427 3.641302
0.3467 3.319881
0.3507 3.015868
0.3547 2.753460
0.3587 2.557599
0.3627 2.325777
0.3667 2.126864
0.3707 1.969201
0.3747 1.771995
0.3787 1.598629
0.3827 1.442413
0.3867 1.309082
0.3907 1.171251
0.3947 1.043677
0.3987 0.970544
0.4027 0.904472
0.4067 0.798514
0.4107 0.741497
0.4147 0.672577
0.4187 0.611944
0.4227 0.532634
0.4267 0.511163
0.4307 0.442354
0.4347 0.497074
0.4387 0.383243
0.4427 0.385677
0.4467 0.385095
0.4507 0.309532
0.4547 0.291919
0.4587 0.314177
0.4627 0.293604
0.4667 0.259613
0.4707 0.270623
0.4747 0.275893
0.4786 0.272127
0.4826 0.310542
0.4866 0.323786
0.4906 0.312997
0.4946 0.311886
0.4986 0.285833
0.5026 0.338574
0.5066 0.361301
0.5106 0.377078
0.5146 0.410712
0.5186 0.440129
0.5226 0.444541
0.5266 0.447215
0.5306 0.446016
0.5346 0.422332
0.5386 0.459806
0.5426 0.449667
0.5466 0.435123
0.5506 0.431730
0.5546 0.410366
0.5586 0.412838
0.5626 0.409450
0.5666 0.434045
0.5706 0.417532
0.5746 0.391377
0.5786 0.368563
0.5826 0.397570
0.5866 0.377021
0.5906 0.401068
0.5946 0.336216
0.5986 0.355517
0.6026 0.361157
0.6066 0.367109
0.6106 0.316534
0.6146 0.301626
0.6186 0.276565
0.6226 0.229799
0.6266 0.249888
0.6305 0.212247
0.6345 0.187229
0.6385 0.142103
0.6425 0.162678
0.6465 0.141861
0.6505 0.197166
0.6545 0.173635
0.6585 0.143707
0.6625 0.125623
0.6665 0.183620
0.6705 0.138111
0.6745 0.142981
0.6785 0.114329
0.6825 0.121337
0.6865 0.065217
0.6905 0.122830
0.6945 0.093020
0.6985 0.086883
0.7025 0.118915
0.7065 0.060610
0.7105 0.019873
0.7145 0.006303
0.7185 0.064372
0.7225 0.031860
0.7265 0.033273
0.7305 0.024975
0.7345 0.079826
0.7385 0.058044
0.7425 0.066779
0.7465 0.100486
0.7505 0.075840
0.7545 0.046410
0.7585 0.056602
0.7625 0.048109
0.7665 0.054645
0.7705 0.033934
0.7745 0.089672
0.7785 0.048249
0.7824 0.050595
0.7864 0.058916
0.7904 0.037276
0.7944 0.031783
0.7984 -0.007704
0.8024 0.009649
0.8064 0.054427
0.8104 0.044322
0.8144 0.054989
0.8184 0.082356
0.8224 0.032942
0.8264 0.006300
0.8304 0.053538
0.8344 0.048516
0.8384 0.070027
0.8424 0.143149
0.8464 0.083349
0.8504 0.022552
0.8544 0.051750
0.8584 0.084889
0.8624 0.037962
0.8664 0.065428
0.8704 0.090488
0.8744 0.040345
0.8784 0.050596
0.8824 0.003908
0.8864 0.001544
0.8904 -0.026495
0.8944 0.042126
0.8984 0.020292
0.9024 0.050700
0.9064 0.048534
0.9104 0.002064
0.9144 0.016728
0.9184 -0.007266
0.9224 -0.000990
0.9264 -0.000556
0.9304 -0.026544
0.9343 -0.034010
0.9383 -0.018812
0.9423 0.022376
0.9463 -0.011176
0.9503 0.024938
0.9543 0.022596
0.9583 0.064962
0.9623 0.037428
0.9663 -0.002588
0.9703 -0.016439
0.9743 0.001659
0.9783 -0.043700
0.9823 -0.041203
