# DMA(O) -- Cl in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2826 18.409408
0.2866 16.186493
0.2906 14.274864
0.2946 12.612142
0.2986 11.224577
0.3026 10.011251
0.3066 8.924495
0.3106 7.984394
0.3146 7.198053
0.3186 6.471758
0.3226 5.859293
0.3266 5.346807
0.3306 4.843980
0.3346 4.385719
0.3386 3.993528
0.3426 3.671354
0.3466 3.339619
0.3506 3.060019
0.3546 2.771572
0.3586 2.550561
0.3626 2.333066
0.3666 2.092518
0.3706 1.918925
0.3745 1.753527
0.3785 1.595725
0.3825 1.425734
0.3865 1.299205
0.3905 1.197820
0.3945 1.063045
0.3985 0.983467
0.4025 0.888376
0.4065 0.824138
0.4105 0.719918
0.4145 0.677810
0.4185 0.631488
0.4225 0.533030
0.4265 0.495384
0.4305 0.443275
0.4345 0.437608
0.4385 0.373551
0.4425 0.348686
0.4465 0.330867
0.4505 0.299064
0.4545 0.283765
0.4585 0.274730
0.4625 0.239183
0.4665 0.262681
0.4705 0.248882
0.4745 0.283791
0.4785 0.256274
0.4825 0.238004
0.4865 0.311886
0.4905 0.352706
0.4945 0.300480
0.4985 0.334784
0.5025 0.357281
0.5065 0.366572
0.5105 0.356887
0.5145 0.370624
0.5185 0.374893
0.5225 0.425140
0.5265 0.425686
0.5305 0.424774
0.5345 0.412499
0.5385 0.449034
0.5424 0.423990
0.5464 0.447860
0.5504 0.408940
0.5544 0.434994
0.5584 0.416420
0.5624 0.346181
0.5664 0.410869
0.5704 0.386204
0.5744 0.398640
0.5784 0.364167
0.5824 0.401464
0.5864 0.348881
0.5904 0.348753
0.5944 0.328295
0.5984 0.297276
0.6024 0.319864
0.6064 0.318486
0.6104 0.299995
0.6144 0.277174
0.6184 0.234990
0.6224 0.218841
0.6264 0.194426
0.6304 0.206176
0.6344 0.206180
0.6384 0.174483
0.6424 0.174154
0.6464 0.166740
0.6504 0.160012
0.6544 0.159502
0.6584 0.100412
0.6624 0.125435
0.6664 0.105054
0.6704 0.093059
0.6744 0.141842
0.6784 0.098083
0.6824 0.116740
0.6864 0.101286
0.6904 0.055740
0.6944 0.099125
0.6984 0.065966
0.7024 0.118762
0.7064 0.048817
0.7103 0.063829
0.7143 0.044653
0.7183 0.061548
0.7223 0.056041
0.7263 0.056913
0.7303 0.040429
0.7343 0.037450
0.7383 0.052130
0.7423 0.055971
0.7463 0.064185
0.7503 0.080406
0.7543 0.080509
0.7583 0.051099
0.7623 0.092242
0.7663 0.106723
0.7703 0.060196
0.7743 0.101938
0.7783 0.026624
0.7823 0.031696
0.7863 0.076828
0.7903 0.058299
0.7943 0.056037
0.7983 0.029927
0.8023 0.036508
0.8063 0.091483
0.8103 0.037322
0.8143 0.043923
0.8183 0.104535
0.8223 0.069289
0.8263 0.039259
0.8303 0.027498
0.8343 0.037452
0.8383 0.076432
0.8423 0.073449
0.8463 0.069682
0.8503 0.066576
0.8543 0.047560
0.8583 0.080504
0.8623 0.033627
0.8663 0.088525
0.8703 0.043442
0.8742 0.065426
0.8782 0.014868
0.8822 0.019265
0.8862 0.004176
0.8902 -0.010823
0.8942 0.035016
0.8982 0.058530
0.9022 0.087153
0.9062 0.093353
0.9102 0.057244
0.9142 0.050622
0.9182 -0.006514
0.9222 0.039153
0.9262 0.023322
0.9302 -0.002928
0.9342 0.018474
0.9382 0.010552
0.9422 0.050352
0.9462 0.015216
0.9502 -0.018163
0.9542 0.030334
0.9582 -0.008892
0.9622 0.034324
0.9662 0.017189
0.9702 -0.024711
0.9742 -0.042045
0.9782 -0.012837
0.9822 -0.066646
0.9862 -0.033291
0.9902 -0.019415
0.9942 -0.078276
0.9982 0.000000
1.0022 -0.049668
1.0062 -0.067275
1.0102 -0.033908
1.0142 -0.035413
1.0182 -0.052218
1.0222 -0.004202
1.0262 -0.016293
1.0302 -0.104449
1.0342 -0.024531
1.0382 -0.062333
1.0421 -0.077839
1.0461 -0.053757
1.0501 -0.084681
1.0541 -0.025176
1.0581 -0.069259
1.0621 -0.091180
1.0661 -0.045936
1.0701 -0.092388
1.0741 -0.088040
1.0781 -0.102823
1.0821 -0.064865
1.0861 -0.093940
1.0901 -0.095071
1.0941 -0.070687
1.0981 -0.036363
1.1021 -0.056508
1.1061 -0.039675
1.1101 -0.073346
1.1141 -0.050775
1.1181 -0.078021
1.1221 -0.031644
1.1261 -0.068396
1.1301 -0.057349
1.1341 -0.030229
1.1381 -0.121894
1.1421 -0.031811
1.1461 -0.059010
1.1501 -0.011575
1.1541 -0.054102
1.1581 -0.018108
1.1621 -0.029206
1.1661 -0.040397
1.1701 -0.033425
1.1741 -0.040026
1.1781 -0.103983
1.1821 -0.079644
1.1861 -0.044420
1.1901 -0.096465
1.1941 -0.066685
1.1981 -0.065343
1.2021 -0.038995
1.2061 -0.040272
1.2100 -0.073582
1.2140 -0.062016
1.2180 -0.052447
1.2220 -0.016429
1.2260 -0.027163
1.2300 -0.109884
1.2340 -0.053584
1.2380 -0.054070
1.2420 -0.049993
1.2460 -0.069622
1.2500 -0.049549
1.2540 -0.048256
1.2580 -0.062242
1.2620 -0.020862
1.2660 -0.006444
1.2700 -0.068892
1.2740 0.002486
1.2780 -0.082635
1.2820 -0.030892
1.2860 -0.051427
1.2900 -0.059946
1.2940 -0.053295
1.2980 -0.086929
1.3020 -0.008517
1.3060 -0.019948
1.3100 -0.039602
1.3140 -0.072543
1.3180 -0.088525
1.3220 -0.001518
1.3260 -0.044575
1.3300 -0.126325
1.3340 -0.009446
1.3380 -0.058471
1.3420 -0.029257
1.3460 -0.046167
1.3500 -0.038631
1.3540 -0.014707
1.3580 -0.019943
1.3620 -0.078672
1.3660 -0.051281
1.3700 -0.064667
1.3739 -0.052946
1.3779 -0.043398
1.3819 -0.089356
1.3859 -0.062109
1.3899 -0.098717
1.3939 -0.073766
1.3979 -0.062438
1.4019 -0.137453
1.4059 -0.131891
1.4099 -0.096403
1.4139 -0.107709
1.4179 -0.081008
1.4219 -0.113200
1.4259 -0.108534
1.4299 -0.132264
1.4339 -0.098453
1.4379 -0.137226
1.4419 -0.067298
1.4459 -0.059611
1.4499 -0.105099
1.4539 -0.086010
1.4579 -0.093405
1.4619 -0.083573
1.4659 -0.101643
1.4699 -0.110962
1.4739 -0.092790
1.4779 -0.114484
1.4819 -0.088310
1.4859 -0.107350
1.4899 -0.114412
1.4939 -0.097473
1.4979 -0.102399
1.5019 -0.141616
1.5059 -0.136850
1.5099 -0.141225
1.5139 -0.103576
1.5179 -0.154468
1.5219 -0.102794
1.5259 -0.166925
1.5299 -0.129699
1.5339 -0.174085
1.5378 -0.168516
1.5418 -0.126951
1.5458 -0.144662
1.5498 -0.158339
