# DMA(O) -- DMA(O) (STEPs-SOL) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2416 -0.522530
0.2466 -0.400981
0.2516 -0.274542
0.2566 -0.169610
0.2616 -0.069326
0.2666 0.018144
0.2716 0.089270
0.2766 0.151984
0.2816 0.197698
0.2866 0.226928
0.2916 0.251525
0.2966 0.274319
0.3016 0.291616
0.3066 0.300042
0.3116 0.308045
0.3166 0.315965
0.3216 0.318257
0.3266 0.313527
0.3316 0.304848
0.3366 0.302317
0.3416 0.309368
0.3466 0.325017
0.3516 0.333083
0.3566 0.329171
0.3616 0.327000
0.3666 0.331721
0.3716 0.329310
0.3766 0.324104
0.3816 0.326874
0.3866 0.329076
0.3916 0.328974
0.3966 0.332090
0.4016 0.345202
0.4066 0.357024
0.4116 0.367457
0.4166 0.384008
0.4216 0.395098
0.4266 0.394147
0.4316 0.395559
0.4366 0.398006
0.4416 0.398988
0.4466 0.396327
0.4516 0.389061
0.4566 0.386804
0.4616 0.391312
0.4666 0.401373
0.4716 0.418197
0.4766 0.432271
0.4816 0.443264
0.4866 0.448442
0.4916 0.450366
0.4966 0.458395
0.5016 0.471526
0.5066 0.477573
0.5116 0.476433
0.5166 0.475602
0.5216 0.470451
0.5266 0.456455
0.5316 0.446343
0.5366 0.449380
0.5416 0.452336
0.5466 0.454696
0.5516 0.458041
0.5566 0.461970
0.5616 0.474854
0.5666 0.487239
0.5716 0.482480
0.5766 0.464850
0.5816 0.460261
0.5866 0.478764
0.5916 0.496406
0.5966 0.493908
0.6016 0.485457
0.6066 0.488424
0.6116 0.490963
0.6166 0.494929
0.6216 0.504227
0.6266 0.514026
0.6316 0.521955
0.6366 0.519803
0.6416 0.513226
0.6466 0.513999
0.6516 0.508986
0.6566 0.507511
0.6616 0.517154
0.6666 0.524089
0.6716 0.539005
0.6766 0.550458
0.6816 0.550430
0.6866 0.557209
0.6916 0.568440
0.6966 0.573361
0.7016 0.569406
0.7066 0.565761
0.7116 0.569480
0.7166 0.571293
0.7216 0.568348
0.7266 0.566328
0.7316 0.561356
0.7366 0.564044
0.7416 0.571032
0.7466 0.558893
0.7516 0.533998
0.7566 0.520272
0.7616 0.508162
0.7666 0.503250
0.7716 0.507517
0.7766 0.503282
0.7816 0.493363
0.7866 0.490024
0.7916 0.475687
0.7966 0.439036
0.8016 0.402666
0.8066 0.402026
0.8116 0.419513
0.8166 0.410997
0.8216 0.387237
0.8266 0.367983
0.8316 0.343328
0.8366 0.331672
0.8416 0.334687
0.8466 0.331258
0.8516 0.313616
0.8566 0.299501
0.8616 0.298049
0.8666 0.305190
0.8716 0.302806
0.8766 0.290808
0.8816 0.286017
0.8866 0.296868
0.8916 0.299594
0.8966 0.282914
0.9016 0.268208
0.9066 0.261245
0.9116 0.256230
0.9166 0.267036
0.9216 0.292753
0.9266 0.319454
0.9316 0.334770
0.9366 0.313512
0.9416 0.268267
0.9466 0.239826
0.9516 0.228717
0.9566 0.229613
0.9616 0.242285
0.9666 0.241591
0.9716 0.238938
0.9766 0.241243
0.9816 0.223520
0.9866 0.194687
0.9916 0.177956
0.9966 0.166679
1.0016 0.160683
1.0066 0.144693
1.0116 0.131000
1.0166 0.144512
1.0216 0.152945
1.0266 0.145671
1.0316 0.137978
1.0366 0.129490
1.0416 0.115989
1.0466 0.110747
1.0516 0.115186
1.0566 0.115361
1.0616 0.100906
1.0666 0.081714
1.0716 0.060982
1.0766 0.045172
1.0816 0.049185
1.0866 0.054568
1.0916 0.043160
1.0966 0.041379
1.1016 0.057706
1.1066 0.058785
1.1116 0.030455
1.1166 0.003773
1.1216 0.013845
1.1266 0.046626
1.1316 0.053418
1.1366 0.034495
1.1416 0.016864
1.1466 0.007029
1.1516 0.010323
1.1566 0.031994
1.1616 0.047721
1.1666 0.043841
1.1716 0.035808
1.1766 0.022118
1.1816 0.011669
1.1866 0.017446
1.1916 0.029484
1.1966 0.034580
