# DMA(O) -- DMA(O) in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2416 12.237033
0.2456 10.328904
0.2496 8.778662
0.2536 7.495523
0.2576 6.376704
0.2616 5.457024
0.2656 4.626426
0.2696 3.981268
0.2736 3.357033
0.2776 2.894382
0.2816 2.477567
0.2856 2.138030
0.2896 1.795219
0.2936 1.526480
0.2976 1.299047
0.3016 1.077297
0.3056 0.935987
0.3096 0.767772
0.3136 0.624146
0.3176 0.494971
0.3216 0.407213
0.3256 0.284516
0.3296 0.215290
0.3336 0.152638
0.3376 0.089130
0.3416 0.042096
0.3456 -0.042427
0.3496 -0.109570
0.3536 -0.151702
0.3576 -0.164446
0.3616 -0.203567
0.3656 -0.233855
0.3696 -0.269648
0.3736 -0.300043
0.3776 -0.283880
0.3816 -0.338819
0.3856 -0.342044
0.3896 -0.375818
0.3936 -0.365408
0.3976 -0.370874
0.4016 -0.413910
0.4056 -0.422756
0.4096 -0.387958
0.4136 -0.468780
0.4176 -0.440773
0.4216 -0.486854
0.4256 -0.448313
0.4296 -0.490421
0.4336 -0.488099
0.4376 -0.488640
0.4416 -0.516488
0.4456 -0.498386
0.4496 -0.511178
0.4536 -0.517693
0.4576 -0.506771
0.4616 -0.525601
0.4656 -0.533758
0.4696 -0.542082
0.4736 -0.559736
0.4776 -0.531841
0.4816 -0.555293
0.4856 -0.574406
0.4896 -0.542102
0.4936 -0.592035
0.4976 -0.562284
0.5016 -0.620619
0.5056 -0.617508
0.5096 -0.586240
0.5136 -0.597239
0.5176 -0.592553
0.5216 -0.629413
0.5256 -0.609017
0.5296 -0.604420
0.5336 -0.640092
0.5376 -0.655738
0.5416 -0.634428
0.5456 -0.637847
0.5496 -0.644972
0.5536 -0.645402
0.5576 -0.671552
0.5616 -0.674926
0.5655 -0.661117
0.5695 -0.681864
0.5735 -0.687929
0.5775 -0.675803
0.5815 -0.691610
0.5855 -0.697876
0.5895 -0.724865
0.5935 -0.726095
0.5975 -0.723743
0.6015 -0.668732
0.6055 -0.724023
0.6095 -0.702625
0.6135 -0.703178
0.6175 -0.688740
0.6215 -0.698240
0.6255 -0.688777
0.6295 -0.659566
0.6335 -0.683558
0.6375 -0.695113
0.6415 -0.652004
0.6455 -0.688550
0.6495 -0.683373
0.6535 -0.647564
0.6575 -0.651022
0.6615 -0.675034
0.6655 -0.640798
0.6695 -0.648388
0.6735 -0.691701
0.6775 -0.671990
0.6815 -0.608441
0.6855 -0.641451
0.6895 -0.653379
0.6935 -0.663560
0.6975 -0.643698
0.7015 -0.624059
0.7055 -0.605436
0.7095 -0.592065
0.7135 -0.588468
0.7175 -0.586027
0.7215 -0.568899
0.7255 -0.608081
0.7295 -0.544269
0.7335 -0.561539
0.7375 -0.539986
0.7415 -0.547245
0.7455 -0.556105
0.7495 -0.507024
0.7535 -0.477288
0.7575 -0.539779
0.7615 -0.483994
0.7655 -0.475558
0.7695 -0.456380
0.7735 -0.481989
0.7775 -0.487643
0.7815 -0.467439
0.7855 -0.451164
0.7895 -0.471799
0.7935 -0.466716
0.7975 -0.486058
0.8015 -0.384705
0.8055 -0.391374
0.8095 -0.424913
0.8135 -0.434844
0.8175 -0.434233
0.8215 -0.369332
0.8255 -0.367877
0.8295 -0.402260
0.8335 -0.309825
0.8375 -0.332772
0.8415 -0.313621
0.8455 -0.347184
0.8495 -0.324194
0.8535 -0.288504
0.8575 -0.297005
0.8615 -0.289150
0.8655 -0.302406
0.8695 -0.291016
0.8735 -0.307660
0.8775 -0.290791
0.8815 -0.280138
0.8855 -0.334130
0.8895 -0.317743
0.8935 -0.299991
0.8975 -0.256325
0.9015 -0.266649
0.9055 -0.285667
0.9095 -0.304584
0.9135 -0.246877
0.9175 -0.279272
0.9215 -0.272650
0.9255 -0.262486
0.9295 -0.242762
0.9334 -0.286723
0.9374 -0.276121
0.9414 -0.194942
0.9454 -0.218334
0.9494 -0.240084
0.9534 -0.161405
0.9574 -0.149387
0.9614 -0.233865
0.9654 -0.165028
0.9694 -0.135218
0.9734 -0.141694
0.9774 -0.170594
0.9814 -0.140579
0.9854 -0.128297
