# DMA(O) -- DMA(O) in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2360 14.806622
0.2400 12.715524
0.2440 10.691401
0.2480 9.064387
0.2520 7.731391
0.2560 6.646713
0.2600 5.719536
0.2640 4.922698
0.2680 4.263249
0.2720 3.712363
0.2760 3.246155
0.2801 2.854848
0.2841 2.472857
0.2881 2.160537
0.2921 1.906785
0.2961 1.653419
0.3001 1.514922
0.3041 1.289102
0.3081 1.162914
0.3121 1.005796
0.3161 0.876658
0.3201 0.794524
0.3241 0.708377
0.3281 0.564310
0.3321 0.496001
0.3361 0.416954
0.3401 0.363311
0.3441 0.340824
0.3481 0.301981
0.3521 0.191274
0.3561 0.159348
0.3601 0.143936
0.3641 0.123510
0.3681 0.115780
0.3722 0.040364
0.3762 0.070769
0.3802 0.038120
0.3842 0.046654
0.3882 0.008370
0.3922 -0.040894
0.3962 -0.025184
0.4002 -0.031428
0.4042 -0.019885
0.4082 -0.011003
0.4122 -0.055334
0.4162 -0.022322
0.4202 -0.019532
0.4242 -0.017223
0.4282 -0.020730
0.4322 -0.053341
0.4362 -0.041955
0.4402 -0.085406
0.4442 -0.060416
0.4482 -0.111189
0.4522 -0.069357
0.4562 -0.118203
0.4602 -0.114168
0.4643 -0.118354
0.4683 -0.084106
0.4723 -0.120227
0.4763 -0.123738
0.4803 -0.090699
0.4843 -0.105758
0.4883 -0.073344
0.4923 -0.102406
0.4963 -0.115583
0.5003 -0.136257
0.5043 -0.069417
0.5083 -0.107488
0.5123 -0.121212
0.5163 -0.107081
0.5203 -0.132611
0.5243 -0.132271
0.5283 -0.147873
0.5323 -0.184605
0.5363 -0.172187
0.5403 -0.188488
0.5443 -0.166405
0.5483 -0.190553
0.5524 -0.207194
0.5564 -0.250062
0.5604 -0.203499
0.5644 -0.219059
0.5684 -0.196387
0.5724 -0.189472
0.5764 -0.199731
0.5804 -0.245386
0.5844 -0.202593
0.5884 -0.229748
0.5924 -0.196878
0.5964 -0.189341
0.6004 -0.260352
0.6044 -0.212379
0.6084 -0.210490
0.6124 -0.195235
0.6164 -0.213040
0.6204 -0.174201
0.6244 -0.175819
0.6284 -0.161751
0.6324 -0.211917
0.6364 -0.179988
0.6404 -0.209169
0.6445 -0.174896
0.6485 -0.193215
0.6525 -0.181391
0.6565 -0.181929
0.6605 -0.185538
0.6645 -0.140145
0.6685 -0.148304
0.6725 -0.126849
