# DMA(O) -- DMA(O) in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2430 11.069734
0.2470 9.464799
0.2510 8.053328
0.2550 6.884167
0.2590 5.922840
0.2630 5.123682
0.2670 4.445904
0.2710 3.821470
0.2750 3.354990
0.2790 2.932109
0.2830 2.560278
0.2870 2.247526
0.2910 1.953774
0.2950 1.725680
0.2990 1.482752
0.3030 1.334247
0.3070 1.171135
0.3110 1.026868
0.3150 0.882576
0.3190 0.802488
0.3230 0.682347
0.3270 0.584824
0.3310 0.479249
0.3350 0.436172
0.3390 0.383820
0.3430 0.302510
0.3470 0.278817
0.3510 0.206227
0.3550 0.215790
0.3590 0.105217
0.3630 0.106444
0.3670 0.102957
0.3710 0.057756
0.3750 0.011293
0.3790 0.022785
0.3830 -0.006301
0.3870 -0.034276
0.3910 -0.020344
0.3950 -0.071144
0.3990 -0.048855
0.4030 -0.057790
0.4070 -0.056592
0.4110 -0.070035
0.4150 -0.069168
0.4190 -0.059244
0.4230 -0.070232
0.4270 -0.087721
0.4310 -0.081757
0.4350 -0.091036
0.4390 -0.098630
0.4430 -0.125669
0.4470 -0.093513
0.4510 -0.133316
0.4550 -0.128743
0.4590 -0.130127
0.4630 -0.125409
0.4670 -0.157285
0.4710 -0.118014
0.4750 -0.098793
0.4790 -0.142854
0.4830 -0.080512
0.4870 -0.120030
0.4910 -0.123864
0.4950 -0.105120
0.4990 -0.141951
0.5030 -0.137943
0.5070 -0.123766
0.5110 -0.125363
0.5150 -0.104312
0.5190 -0.129542
0.5230 -0.162210
0.5270 -0.146178
0.5310 -0.205059
0.5350 -0.179785
0.5390 -0.198051
0.5430 -0.180753
0.5470 -0.190346
0.5510 -0.164119
0.5550 -0.244012
0.5590 -0.185229
0.5630 -0.204743
0.5670 -0.164010
0.5710 -0.184442
0.5750 -0.211078
0.5790 -0.241144
0.5830 -0.263828
0.5870 -0.216213
0.5910 -0.213935
0.5950 -0.214818
0.5990 -0.221140
0.6030 -0.211909
0.6070 -0.208756
0.6110 -0.221992
0.6150 -0.211446
0.6190 -0.187611
0.6230 -0.189678
0.6270 -0.169563
0.6310 -0.143666
0.6350 -0.141808
0.6390 -0.181263
0.6430 -0.160879
0.6470 -0.149683
0.6510 -0.150506
0.6550 -0.185665
0.6590 -0.152801
0.6630 -0.105771
0.6670 -0.154480
0.6710 -0.130343
0.6750 -0.090052
0.6790 -0.126765
0.6830 -0.055506
0.6870 -0.086134
0.6910 -0.093453
0.6950 -0.068470
0.6990 -0.059984
0.7030 -0.051153
0.7070 -0.045256
0.7110 -0.021710
0.7150 -0.005326
0.7190 0.003395
0.7230 -0.032900
0.7270 0.000355
0.7310 -0.012543
0.7351 0.021764
0.7391 -0.000222
0.7431 0.056761
0.7471 0.042079
0.7511 -0.003497
0.7551 0.038535
0.7591 -0.007193
0.7631 0.018733
0.7671 0.024372
0.7711 0.047209
0.7751 0.042602
