# DMA(O) (STEPs-SOL) -- Na (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2075 -3.672140
0.2125 -3.435782
0.2175 -3.123624
0.2225 -2.808366
0.2275 -2.490488
0.2325 -2.171820
0.2375 -1.861433
0.2425 -1.559466
0.2475 -1.260946
0.2525 -0.972008
0.2575 -0.695140
0.2625 -0.427926
0.2675 -0.173766
0.2725 0.052268
0.2775 0.244185
0.2825 0.402859
0.2875 0.530815
0.2925 0.637301
0.2975 0.730570
0.3025 0.810570
0.3075 0.870040
0.3125 0.913656
0.3175 0.944717
0.3225 0.952770
0.3275 0.940224
0.3325 0.908558
0.3375 0.869735
0.3425 0.818085
0.3475 0.747014
0.3525 0.649572
0.3575 0.538573
0.3625 0.439829
0.3675 0.348993
0.3725 0.250099
0.3775 0.144452
0.3825 0.038008
0.3875 -0.060167
0.3925 -0.155766
0.3975 -0.239771
0.4025 -0.323256
0.4075 -0.415769
0.4125 -0.492635
0.4175 -0.554210
0.4225 -0.612325
0.4275 -0.666293
0.4325 -0.730288
0.4375 -0.795070
0.4425 -0.836325
0.4475 -0.856986
0.4525 -0.878742
0.4575 -0.896144
0.4625 -0.897536
0.4675 -0.896871
0.4725 -0.893609
0.4775 -0.880211
0.4825 -0.860686
0.4875 -0.838437
0.4925 -0.809620
0.4975 -0.767308
0.5025 -0.718454
0.5075 -0.667392
0.5125 -0.609220
0.5175 -0.545192
0.5225 -0.490064
0.5275 -0.447129
0.5325 -0.414182
0.5375 -0.383728
0.5425 -0.353488
0.5475 -0.321634
0.5525 -0.288619
0.5575 -0.262284
0.5625 -0.253056
0.5675 -0.247592
0.5725 -0.244561
0.5775 -0.259762
0.5825 -0.271272
0.5875 -0.255933
0.5925 -0.242001
0.5975 -0.253193
0.6025 -0.273760
0.6075 -0.278886
0.6125 -0.271949
0.6175 -0.263087
0.6225 -0.262937
0.6275 -0.274821
0.6325 -0.284860
0.6375 -0.281468
0.6425 -0.269432
0.6475 -0.261458
0.6525 -0.264811
0.6575 -0.268175
0.6625 -0.259774
0.6675 -0.255122
0.6725 -0.255071
0.6775 -0.244392
0.6825 -0.236514
0.6875 -0.246245
0.6925 -0.259491
0.6975 -0.262790
0.7025 -0.252589
0.7075 -0.236445
0.7125 -0.238185
0.7175 -0.251539
0.7225 -0.258329
0.7275 -0.249079
0.7325 -0.233573
0.7375 -0.220651
0.7425 -0.215741
0.7475 -0.206635
0.7525 -0.195905
0.7575 -0.192540
0.7625 -0.188291
0.7675 -0.172535
0.7725 -0.162779
0.7775 -0.165713
0.7825 -0.159806
0.7875 -0.151748
0.7925 -0.142900
0.7975 -0.137041
0.8025 -0.142438
0.8075 -0.140298
0.8125 -0.140478
0.8175 -0.126366
0.8225 -0.100130
0.8275 -0.090962
0.8325 -0.095357
0.8375 -0.109948
0.8425 -0.118309
0.8475 -0.111173
0.8525 -0.098281
0.8575 -0.091076
0.8625 -0.087563
0.8675 -0.092726
0.8725 -0.102711
0.8775 -0.108252
0.8825 -0.112654
0.8875 -0.122794
0.8925 -0.134977
0.8975 -0.135798
0.9025 -0.123721
0.9075 -0.106463
0.9125 -0.090584
0.9175 -0.081992
0.9225 -0.076319
0.9275 -0.061241
0.9325 -0.054888
0.9375 -0.059168
0.9425 -0.057550
0.9475 -0.063754
0.9525 -0.070400
0.9575 -0.054775
0.9625 -0.036203
0.9675 -0.035256
0.9725 -0.046090
0.9775 -0.052844
0.9825 -0.057073
0.9875 -0.066051
0.9925 -0.075870
0.9975 -0.067189
1.0025 -0.053971
1.0075 -0.050570
1.0125 -0.048150
1.0175 -0.037851
1.0225 -0.026382
1.0275 -0.027022
1.0325 -0.039070
1.0375 -0.033704
1.0425 -0.016420
1.0475 -0.011176
1.0525 -0.017203
1.0575 -0.033559
1.0625 -0.051845
1.0675 -0.060683
1.0725 -0.055713
1.0775 -0.046931
1.0825 -0.030250
1.0875 -0.012298
1.0925 -0.000181
1.0975 -0.002158
1.1025 -0.015747
1.1075 -0.027734
1.1125 -0.035121
1.1175 -0.037136
1.1225 -0.028579
1.1275 -0.010664
1.1325 0.001631
1.1375 0.012672
1.1425 0.028394
1.1475 0.028775
1.1525 0.014359
1.1575 -0.004605
1.1625 -0.009261
1.1675 0.004157
1.1725 0.024077
1.1775 0.027163
1.1825 0.007778
1.1875 -0.011941
1.1925 -0.013725
1.1975 -0.001522
