# DMA(O) (STEPs-SOL) -- Na (Amber03) Difference Data: DFT (Daily) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2075 -6.737898
0.2125 -5.601944
0.2175 -4.270274
0.2225 -3.292968
0.2275 -2.658439
0.2325 -2.238540
0.2375 -1.944450
0.2425 -1.724173
0.2475 -1.525482
0.2525 -1.318780
0.2575 -1.093941
0.2625 -0.847033
0.2675 -0.593383
0.2725 -0.358608
0.2775 -0.153485
0.2825 0.043194
0.2875 0.240290
0.2925 0.424509
0.2975 0.604630
0.3025 0.779002
0.3075 0.922954
0.3125 1.051934
0.3175 1.188586
0.3225 1.308246
0.3275 1.371945
0.3325 1.344963
0.3375 1.234821
0.3425 1.075248
0.3475 0.902191
0.3525 0.709028
0.3575 0.487022
0.3625 0.271963
0.3675 0.101320
0.3725 -0.020755
0.3775 -0.128504
0.3825 -0.245294
0.3875 -0.334226
0.3925 -0.388372
0.3975 -0.442806
0.4025 -0.520295
0.4075 -0.611549
0.4125 -0.695360
0.4175 -0.767812
0.4225 -0.823308
0.4275 -0.850178
0.4325 -0.862246
0.4375 -0.853347
0.4425 -0.807708
0.4475 -0.752059
0.4525 -0.731746
0.4575 -0.745177
0.4625 -0.762723
0.4675 -0.768568
0.4725 -0.760725
0.4775 -0.741123
0.4825 -0.712192
0.4875 -0.676390
0.4925 -0.636179
0.4975 -0.594019
0.5025 -0.552369
0.5075 -0.513691
0.5125 -0.480441
0.5175 -0.454995
0.5225 -0.438654
0.5275 -0.427551
0.5325 -0.410516
0.5375 -0.383446
0.5425 -0.353480
0.5475 -0.321634
0.5525 -0.288619
0.5575 -0.262284
0.5625 -0.253056
0.5675 -0.247592
0.5725 -0.244561
0.5775 -0.259762
0.5825 -0.271272
0.5875 -0.255933
0.5925 -0.242001
0.5975 -0.253193
0.6025 -0.273760
0.6075 -0.278886
0.6125 -0.271949
0.6175 -0.263087
0.6225 -0.262937
0.6275 -0.274821
0.6325 -0.284860
0.6375 -0.281468
0.6425 -0.269432
0.6475 -0.261458
0.6525 -0.264811
0.6575 -0.268175
0.6625 -0.259774
0.6675 -0.255122
0.6725 -0.255071
0.6775 -0.244392
0.6825 -0.236514
0.6875 -0.246245
0.6925 -0.259491
0.6975 -0.262790
0.7025 -0.252589
0.7075 -0.236445
0.7125 -0.238185
0.7175 -0.251539
0.7225 -0.258329
0.7275 -0.249079
0.7325 -0.233573
0.7375 -0.220651
0.7425 -0.215741
0.7475 -0.206635
0.7525 -0.195905
0.7575 -0.192540
0.7625 -0.188291
0.7675 -0.172535
0.7725 -0.162779
0.7775 -0.165713
0.7825 -0.159806
0.7875 -0.151748
0.7925 -0.142900
0.7975 -0.137041
0.8025 -0.142438
0.8075 -0.140298
0.8125 -0.140478
0.8175 -0.126366
0.8225 -0.100130
0.8275 -0.090962
0.8325 -0.095357
0.8375 -0.109948
0.8425 -0.118309
0.8475 -0.111173
0.8525 -0.098281
0.8575 -0.091076
0.8625 -0.087563
0.8675 -0.092726
0.8725 -0.102711
0.8775 -0.108252
0.8825 -0.112654
0.8875 -0.122794
0.8925 -0.134977
0.8975 -0.135798
0.9025 -0.123721
0.9075 -0.106463
0.9125 -0.090584
0.9175 -0.081992
0.9225 -0.076319
0.9275 -0.061241
0.9325 -0.054888
0.9375 -0.059168
0.9425 -0.057550
0.9475 -0.063754
0.9525 -0.070400
0.9575 -0.054775
0.9625 -0.036203
0.9675 -0.035256
0.9725 -0.046090
0.9775 -0.052844
0.9825 -0.057073
0.9875 -0.066051
0.9925 -0.075870
0.9975 -0.067189
1.0025 -0.053971
1.0075 -0.050570
1.0125 -0.048150
1.0175 -0.037851
1.0225 -0.026382
1.0275 -0.027022
1.0325 -0.039070
1.0375 -0.033704
1.0425 -0.016420
1.0475 -0.011176
1.0525 -0.017203
1.0575 -0.033559
1.0625 -0.051845
1.0675 -0.060683
1.0725 -0.055713
1.0775 -0.046931
1.0825 -0.030250
1.0875 -0.012298
1.0925 -0.000181
1.0975 -0.002158
1.1025 -0.015747
1.1075 -0.027734
1.1125 -0.035121
1.1175 -0.037136
1.1225 -0.028579
1.1275 -0.010664
1.1325 0.001631
1.1375 0.012672
1.1425 0.028394
1.1475 0.028775
1.1525 0.014359
1.1575 -0.004605
1.1625 -0.009261
1.1675 0.004157
1.1725 0.024077
1.1775 0.027163
1.1825 0.007778
1.1875 -0.011941
1.1925 -0.013725
1.1975 -0.001522
