# DMA(O) -- Na in DFT (Daily)
# r0[nm] k[kCal/mol/nm^2]
0.2203 -0.095618
0.2248 -0.381373
0.2293 -0.595269
0.2338 -0.735190
0.2382 -0.783889
0.2427 -0.856404
0.2472 -0.826505
0.2517 -0.719915
0.2562 -0.604294
0.2607 -0.434256
0.2652 -0.192610
0.2697 -0.000079
0.2742 0.233502
0.2787 0.365385
0.2833 0.588216
0.2878 0.850335
0.2923 1.044906
0.2968 1.220163
0.3013 1.495341
0.3058 1.683866
0.3103 1.752285
0.3147 1.922843
0.3192 2.109281
0.3237 2.211205
0.3282 2.362460
0.3327 2.321529
0.3372 2.214161
0.3417 2.040522
0.3463 1.936550
0.3508 1.803902
0.3553 1.636010
0.3598 1.435397
0.3643 1.228052
0.3688 1.088317
0.3733 1.025826
0.3777 0.945293
0.3822 0.789322
0.3867 0.721848
0.3912 0.676351
0.3957 0.591237
0.4002 0.563082
0.4047 0.444217
0.4093 0.386162
0.4138 0.324424
0.4183 0.232239
0.4228 0.193260
0.4273 0.175436
0.4318 0.153096
0.4363 0.151981
0.4407 0.169078
0.4452 0.269484
0.4497 0.311051
0.4542 0.241729
0.4587 0.245565
0.4632 0.219739
0.4677 0.135728
0.4723 0.167336
0.4768 0.172860
0.4813 0.212993
0.4858 0.287115
0.4903 0.380863
0.4948 0.477906
0.4993 0.653545
0.5038 0.709195
0.5082 0.822953
0.5128 0.952123
0.5172 1.110565
0.5218 1.269656
0.5262 1.462256
0.5308 1.633374
0.5353 1.785384
0.5397 1.982867
0.5443 2.182023
0.5487 2.269832
0.5533 2.307442
0.5577 2.226948
0.5623 2.130716
0.5667 1.990750
0.5713 1.876078
0.5757 1.692793
0.5803 1.745163
0.5847 1.659121
0.5893 1.463853
0.5938 1.310104
