# DMA(O) -- Na in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2095 7.335332
0.2135 5.347403
0.2175 4.100976
0.2215 3.074964
0.2255 2.311286
0.2295 1.779532
0.2335 1.399792
0.2375 1.115459
0.2415 0.912126
0.2455 0.761037
0.2495 0.657328
0.2535 0.610654
0.2575 0.555487
0.2615 0.506159
0.2655 0.507323
0.2695 0.471046
0.2735 0.468786
0.2775 0.483005
0.2815 0.511511
0.2855 0.548066
0.2895 0.594829
0.2935 0.644238
0.2976 0.673497
0.3016 0.727784
0.3056 0.750556
0.3096 0.797424
0.3136 0.823961
0.3176 0.819810
0.3216 0.860533
0.3256 0.891430
0.3296 0.885110
0.3336 0.977500
0.3376 0.925319
0.3416 0.967177
0.3456 0.967160
0.3496 1.005942
0.3536 0.997137
0.3576 1.059766
0.3616 1.073864
0.3656 1.044956
0.3696 1.065530
0.3736 1.084175
0.3776 1.030163
0.3816 1.077350
0.3856 1.063681
0.3896 1.074194
0.3936 1.024902
0.3977 1.002425
0.4017 1.011526
0.4057 1.026323
0.4097 1.036490
0.4137 1.050802
0.4177 1.005861
0.4217 1.076741
0.4257 0.990575
0.4297 1.038811
0.4337 1.020805
0.4377 1.038712
0.4417 1.036088
0.4457 1.016392
0.4497 0.986533
0.4537 0.979860
0.4577 0.993845
0.4617 0.941131
0.4657 0.949341
0.4697 0.913974
0.4737 0.924458
0.4777 0.884782
0.4817 0.894020
0.4857 0.880848
0.4897 0.874664
0.4937 0.857680
0.4978 0.843576
0.5018 0.845938
0.5058 0.811269
0.5098 0.805750
0.5138 0.786673
0.5178 0.740916
0.5218 0.734285
0.5258 0.744136
0.5298 0.737492
0.5338 0.761691
0.5378 0.723500
0.5418 0.737486
0.5458 0.682148
0.5498 0.689780
0.5538 0.652965
0.5578 0.615500
0.5618 0.619609
0.5658 0.601840
0.5698 0.609154
0.5738 0.564706
0.5778 0.598116
0.5818 0.608656
0.5858 0.582865
0.5898 0.513256
0.5938 0.523312
0.5979 0.523673
0.6019 0.539749
0.6059 0.518984
0.6099 0.517729
0.6139 0.496457
0.6179 0.477863
0.6219 0.447342
0.6259 0.475215
0.6299 0.504152
0.6339 0.471576
0.6379 0.460394
0.6419 0.454517
0.6459 0.416775
0.6499 0.418677
0.6539 0.406434
0.6579 0.425576
0.6619 0.399026
0.6659 0.385021
0.6699 0.373975
0.6739 0.406153
0.6779 0.333682
0.6819 0.303347
0.6859 0.324722
0.6899 0.309897
0.6939 0.361445
0.6980 0.317728
0.7020 0.342795
0.7060 0.280061
0.7100 0.285042
0.7140 0.308595
0.7180 0.252351
0.7220 0.305828
0.7260 0.288698
0.7300 0.267072
0.7340 0.322134
0.7380 0.212795
0.7420 0.301827
0.7460 0.276889
0.7500 0.253692
0.7540 0.240506
0.7580 0.231640
0.7620 0.239947
0.7660 0.227372
0.7700 0.229020
0.7740 0.190296
0.7780 0.262837
0.7820 0.192898
0.7860 0.188396
0.7900 0.268185
0.7940 0.211943
0.7981 0.178452
0.8021 0.254131
0.8061 0.177663
0.8101 0.187362
0.8141 0.235635
0.8181 0.224612
0.8221 0.168922
0.8261 0.196262
0.8301 0.179060
0.8341 0.141543
0.8381 0.206251
0.8421 0.163726
0.8461 0.180625
0.8501 0.154398
0.8541 0.155082
0.8581 0.177271
0.8621 0.124448
0.8661 0.154140
0.8701 0.129845
0.8741 0.177464
0.8781 0.147471
0.8821 0.142784
0.8861 0.133280
0.8901 0.166588
0.8941 0.138593
0.8982 0.140831
0.9022 0.134969
0.9062 0.163313
0.9102 0.108990
0.9142 0.143752
0.9182 0.138364
0.9222 0.119826
0.9262 0.090273
0.9302 0.106319
0.9342 0.111124
0.9382 0.143969
0.9422 0.113103
0.9462 0.103290
0.9502 0.139096
0.9542 0.123050
0.9582 0.109657
0.9622 0.039847
