# DMA(O) -- Na in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2074 4.877123
0.2114 3.008667
0.2154 1.643926
0.2194 0.698605
0.2234 0.046644
0.2274 -0.336744
0.2314 -0.543346
0.2354 -0.674316
0.2394 -0.642995
0.2434 -0.601046
0.2474 -0.437273
0.2514 -0.316337
0.2554 -0.156571
0.2594 0.013892
0.2634 0.185371
0.2674 0.392085
0.2714 0.537269
0.2754 0.732095
0.2794 0.914625
0.2834 1.069357
0.2874 1.231490
0.2914 1.367071
0.2954 1.483436
0.2994 1.598074
0.3034 1.650537
0.3074 1.691284
0.3114 1.817663
0.3154 1.841308
0.3194 1.916905
0.3234 1.922449
0.3274 1.944675
0.3314 1.928563
0.3354 1.928344
0.3394 1.878463
0.3434 1.847801
0.3474 1.824601
0.3514 1.765858
0.3554 1.685065
0.3594 1.624339
0.3634 1.547384
0.3674 1.511412
0.3714 1.425881
0.3754 1.320010
0.3794 1.249469
0.3834 1.207025
0.3874 1.124807
0.3914 1.042032
0.3954 0.924661
0.3994 0.893872
0.4034 0.811425
0.4074 0.735952
0.4114 0.652412
0.4154 0.580870
0.4194 0.546526
0.4234 0.503320
0.4274 0.434509
0.4314 0.381369
0.4354 0.346959
0.4394 0.268918
0.4434 0.227932
0.4474 0.211594
0.4514 0.157789
0.4554 0.162392
0.4594 0.117127
0.4634 0.107800
0.4674 0.087503
0.4714 0.074818
0.4754 0.112544
0.4794 0.114553
0.4834 0.085520
0.4874 0.111191
0.4914 0.122461
0.4954 0.130988
0.4994 0.183313
0.5034 0.204750
0.5074 0.215827
0.5114 0.275874
0.5154 0.319515
0.5194 0.332585
0.5234 0.355476
0.5274 0.359253
0.5314 0.342448
0.5354 0.365873
0.5394 0.425739
0.5434 0.386085
0.5474 0.425294
0.5514 0.458295
0.5554 0.451518
0.5594 0.452307
0.5634 0.450810
0.5674 0.479909
0.5714 0.427661
0.5754 0.458483
0.5794 0.411244
0.5834 0.357231
0.5874 0.392928
0.5914 0.367604
0.5954 0.379378
0.5994 0.360837
0.6034 0.347556
0.6074 0.347292
0.6114 0.325875
0.6155 0.345367
0.6195 0.328650
0.6235 0.326597
0.6275 0.284758
0.6315 0.256368
0.6355 0.246716
0.6395 0.243893
0.6435 0.221257
0.6475 0.245326
0.6515 0.244388
0.6555 0.275648
0.6595 0.258008
0.6635 0.248641
0.6675 0.229312
0.6715 0.199773
0.6755 0.242637
0.6795 0.239452
0.6835 0.217883
0.6875 0.168475
0.6915 0.201640
0.6955 0.158531
0.6995 0.168277
0.7035 0.138082
0.7075 0.168017
0.7115 0.174574
0.7155 0.156170
0.7195 0.105894
0.7235 0.088625
0.7275 0.164561
0.7315 0.123321
0.7355 0.191300
0.7395 0.149429
0.7435 0.151024
0.7475 0.166787
0.7515 0.153544
0.7555 0.152301
0.7595 0.126264
0.7635 0.097391
0.7675 0.133280
0.7715 0.129952
0.7755 0.150107
0.7795 0.141351
0.7835 0.144849
0.7875 0.047923
0.7915 0.128591
0.7955 0.112442
0.7995 0.062457
0.8035 0.074722
0.8075 0.075516
0.8115 0.077062
0.8155 0.102608
0.8195 0.083664
0.8235 0.156304
0.8275 0.131340
0.8315 0.132997
0.8355 0.120757
0.8395 0.122109
0.8435 0.077622
0.8475 0.095535
0.8515 0.149602
0.8555 0.149465
0.8595 0.137760
0.8635 0.130084
0.8675 0.131416
0.8715 0.080992
0.8755 0.057453
0.8795 0.107839
0.8835 0.050385
0.8875 0.055190
0.8915 0.071482
0.8955 0.045213
0.8995 0.049414
0.9035 0.070900
0.9075 0.037832
0.9115 0.086855
0.9155 0.074551
0.9195 0.105567
0.9235 0.181777
0.9275 0.131396
0.9315 0.119656
0.9355 0.112897
0.9395 0.127226
0.9435 0.114169
0.9475 0.073022
0.9515 0.081595
0.9555 0.129380
0.9595 0.096992
0.9635 0.123465
0.9675 0.099865
0.9715 0.083693
0.9755 0.087758
0.9795 0.080917
0.9835 0.093586
0.9875 0.090557
0.9915 0.049413
0.9955 0.016108
0.9995 0.026575
1.0035 0.064337
1.0075 0.031945
1.0115 0.030083
1.0155 0.075025
1.0195 0.051644
1.0235 0.038694
1.0275 0.013688
1.0316 -0.015580
1.0356 0.054363
1.0396 0.035057
