# DMA(O) -- Na in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2040 3.820935
0.2080 1.398318
0.2120 0.287929
0.2160 -0.194422
0.2200 -0.446284
0.2240 -0.637142
0.2280 -0.802966
0.2320 -0.891425
0.2360 -0.972071
0.2400 -0.973735
0.2440 -0.944731
0.2480 -0.947332
0.2520 -0.888136
0.2560 -0.764460
0.2600 -0.593302
0.2640 -0.422667
0.2680 -0.219493
0.2721 -0.044227
0.2761 0.131176
0.2801 0.374160
0.2841 0.551135
0.2881 0.767825
0.2921 0.986666
0.2961 1.085509
0.3001 1.287146
0.3041 1.434976
0.3081 1.587375
0.3121 1.715859
0.3161 1.874569
0.3201 2.000604
0.3241 2.107856
0.3281 2.159082
0.3321 2.150334
0.3361 2.085284
0.3401 2.051323
0.3441 1.901474
0.3481 1.740847
0.3521 1.652158
0.3561 1.424598
0.3601 1.269406
0.3641 1.106515
0.3681 1.004035
0.3722 0.895695
0.3762 0.807774
0.3802 0.729007
0.3842 0.665452
0.3882 0.601247
0.3922 0.552658
0.3962 0.532069
0.4002 0.517021
0.4042 0.404797
0.4082 0.347182
0.4122 0.255714
0.4162 0.153655
0.4202 0.110350
0.4242 0.051862
0.4282 0.030061
0.4322 -0.000949
0.4362 -0.025944
0.4402 -0.084198
0.4442 -0.043229
0.4482 -0.046211
0.4522 -0.036094
0.4562 -0.015306
0.4602 -0.012835
0.4642 0.003618
0.4682 0.047917
0.4723 0.098833
0.4763 0.077849
0.4803 0.074511
0.4843 0.055606
0.4883 0.076671
0.4923 0.071720
0.4963 0.064414
0.5003 0.096246
0.5043 0.115736
0.5083 0.186659
0.5123 0.270377
0.5163 0.286380
0.5203 0.318023
0.5243 0.377781
0.5283 0.371689
0.5323 0.358731
0.5363 0.369172
0.5403 0.410867
0.5443 0.368827
0.5483 0.413383
0.5523 0.448715
0.5563 0.472079
0.5603 0.462240
0.5643 0.456974
0.5683 0.416670
0.5724 0.414022
0.5764 0.401983
0.5804 0.358700
0.5844 0.354591
0.5884 0.357302
0.5924 0.330115
0.5964 0.368698
0.6004 0.310269
0.6044 0.280450
0.6084 0.278726
0.6124 0.303773
0.6164 0.278072
0.6204 0.257871
0.6244 0.259813
0.6284 0.241156
0.6324 0.212018
0.6364 0.244766
0.6404 0.213356
0.6444 0.249568
0.6484 0.235777
0.6524 0.211097
0.6564 0.155247
0.6604 0.175888
0.6644 0.153503
0.6684 0.167155
0.6725 0.169311
0.6765 0.163609
0.6805 0.161596
0.6845 0.166867
0.6885 0.129198
0.6925 0.131434
0.6965 0.132963
0.7005 0.190551
0.7045 0.157076
0.7085 0.132084
0.7125 0.113111
0.7165 0.074230
0.7205 0.071966
0.7245 0.068286
0.7285 0.081730
0.7325 0.102819
0.7365 0.109930
0.7405 0.097175
0.7445 0.118330
0.7485 0.124099
0.7525 0.099191
0.7565 0.099258
0.7605 0.086699
0.7645 0.100949
0.7685 0.146740
0.7726 0.133888
0.7766 0.110975
0.7806 0.101174
0.7846 0.077058
0.7886 0.104288
0.7926 0.116285
0.7966 0.078154
0.8006 0.100585
0.8046 0.120831
0.8086 0.133545
0.8126 0.075175
0.8166 0.086900
0.8206 0.090018
0.8246 0.085510
0.8286 0.150296
0.8326 0.135543
0.8366 0.118568
0.8406 0.117809
0.8446 0.109893
0.8486 0.100024
0.8526 0.108835
0.8566 0.111350
0.8606 0.103993
0.8646 0.106463
0.8687 0.083675
0.8727 0.123204
0.8767 0.099815
0.8807 0.106253
0.8847 0.071274
0.8887 0.078441
0.8927 -0.017745
0.8967 0.009529
0.9007 0.053555
0.9047 0.041925
0.9087 0.045647
0.9127 0.042868
0.9167 0.029067
0.9207 0.023427
0.9247 0.059991
0.9287 0.026877
0.9327 0.072227
0.9367 0.047937
0.9407 0.102859
0.9447 0.078928
0.9487 0.083423
0.9527 0.109019
0.9567 0.103046
0.9607 0.100368
0.9647 0.112260
0.9688 0.126479
0.9728 0.092742
0.9768 0.074728
0.9808 0.117885
0.9848 0.038639
0.9888 0.023001
0.9928 0.026683
0.9968 0.036153
1.0008 0.062480
1.0048 0.018208
1.0088 0.031966
1.0128 0.025109
1.0168 0.057369
1.0208 -0.011248
1.0248 0.004961
1.0288 0.051681
1.0328 0.050721
1.0368 0.009866
1.0408 0.062507
1.0448 0.051691
1.0488 0.083425
1.0528 -0.006220
1.0568 -0.005814
1.0608 0.037784
1.0648 0.049887
1.0689 0.011030
1.0729 0.023173
1.0769 0.016860
1.0809 0.021031
1.0849 -0.012251
1.0889 0.024657
1.0929 0.023013
1.0969 -0.005686
1.1009 0.052247
1.1049 0.022552
1.1089 0.031961
1.1129 0.068162
1.1169 0.111612
1.1209 0.085945
1.1249 0.063368
1.1289 0.080445
1.1329 0.035706
1.1369 0.044287
1.1409 0.091943
1.1449 0.022394
1.1489 0.040301
1.1529 0.029855
1.1569 -0.008872
1.1609 0.059914
1.1649 0.017390
1.1690 0.062427
1.1730 0.017895
1.1770 0.037158
1.1810 0.021957
1.1850 0.033324
1.1890 0.004482
1.1930 0.005320
1.1970 0.000382
1.2010 0.000000
1.2050 0.051585
1.2090 0.003608
1.2130 0.000742
1.2170 0.031629
1.2210 -0.026107
1.2250 -0.022539
1.2290 0.008166
1.2330 0.011314
1.2370 -0.037399
1.2410 0.021467
1.2450 0.028396
1.2490 -0.009235
1.2530 -0.033562
1.2570 0.028502
1.2610 -0.021374
1.2650 0.009326
1.2691 -0.000837
1.2731 0.010500
1.2771 0.000408
1.2811 0.003226
1.2851 0.010632
1.2891 0.010744
1.2931 -0.011519
1.2971 0.004965
1.3011 0.026966
1.3051 -0.016391
1.3091 0.019484
1.3131 0.033568
1.3171 0.058071
1.3211 0.019594
1.3251 -0.011085
1.3291 0.024117
1.3331 -0.069751
1.3371 0.017181
1.3411 0.019239
1.3451 -0.005921
1.3491 0.024898
1.3531 0.016153
1.3571 0.026683
1.3611 0.008993
1.3651 0.024894
1.3692 0.027254
1.3732 0.057514
1.3772 0.024280
1.3812 -0.015366
1.3852 -0.018779
1.3892 -0.005619
1.3932 -0.049642
1.3972 -0.048074
1.4012 -0.019314
1.4052 0.014607
1.4092 -0.020708
1.4132 -0.029375
1.4172 -0.044466
1.4212 -0.017177
1.4252 -0.017003
1.4292 0.012124
1.4332 0.042805
1.4372 0.003321
1.4412 -0.010710
1.4452 -0.007090
1.4492 0.009652
1.4532 0.028092
1.4572 -0.047449
1.4612 -0.043981
1.4652 0.037406
1.4693 -0.000370
1.4733 -0.003343
1.4773 -0.006347
1.4813 -0.007125
1.4853 -0.040184
1.4893 -0.028830
1.4933 0.059339
1.4973 -0.012476
1.5013 0.000856
1.5053 0.017130
1.5093 -0.001499
1.5133 0.003965
1.5173 -0.070692
1.5213 0.006080
1.5253 0.007356
1.5293 -0.016358
1.5333 0.036491
1.5373 -0.022670
1.5413 0.042347
1.5453 0.022148
1.5493 0.013475
