# DMA(O) -- Na in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2075 4.476393
0.2115 2.776428
0.2155 1.399739
0.2195 0.535602
0.2235 -0.073780
0.2275 -0.451045
0.2315 -0.646539
0.2355 -0.731099
0.2395 -0.740420
0.2435 -0.675394
0.2475 -0.538043
0.2515 -0.389063
0.2555 -0.214923
0.2595 -0.042995
0.2635 0.116031
0.2675 0.340250
0.2715 0.498776
0.2755 0.659671
0.2795 0.828656
0.2835 0.982239
0.2875 1.111208
0.2915 1.248834
0.2955 1.359846
0.2995 1.453393
0.3035 1.594580
0.3075 1.658582
0.3115 1.703589
0.3155 1.759467
0.3195 1.846575
0.3235 1.789928
0.3275 1.868167
0.3315 1.837479
0.3355 1.828805
0.3395 1.815854
0.3435 1.767664
0.3475 1.756253
0.3515 1.671236
0.3556 1.625665
0.3596 1.530019
0.3636 1.484605
0.3676 1.422791
0.3716 1.338106
0.3756 1.241017
0.3796 1.152698
0.3836 1.052282
0.3876 1.035019
0.3916 0.872087
0.3956 0.807493
0.3996 0.713197
0.4036 0.719118
0.4076 0.585484
0.4116 0.548543
0.4156 0.523349
0.4196 0.408825
0.4236 0.427456
0.4276 0.368473
0.4316 0.310050
0.4356 0.242526
0.4396 0.207905
0.4436 0.162625
0.4476 0.158918
0.4516 0.118818
0.4556 0.061426
0.4596 0.078790
0.4636 0.052135
0.4676 0.032706
0.4716 0.023251
0.4756 -0.004852
0.4796 0.023614
0.4836 0.027373
0.4876 0.045583
0.4916 0.026599
0.4956 0.062686
0.4996 0.104427
0.5036 0.122775
0.5076 0.144653
0.5116 0.153920
0.5156 0.211237
0.5196 0.229735
0.5236 0.245565
0.5276 0.314068
0.5316 0.322202
0.5357 0.359277
0.5397 0.341160
0.5437 0.377584
0.5477 0.368977
0.5517 0.362239
0.5557 0.388585
0.5597 0.376084
0.5637 0.350416
0.5677 0.347081
0.5717 0.357043
0.5757 0.377798
0.5797 0.290497
0.5837 0.294662
0.5877 0.312353
0.5917 0.295399
0.5957 0.290527
0.5997 0.277371
0.6037 0.218621
0.6077 0.244014
0.6117 0.227989
0.6157 0.217215
0.6197 0.229545
0.6237 0.187815
0.6277 0.210769
0.6317 0.189495
0.6357 0.175868
0.6397 0.174207
0.6437 0.185829
0.6477 0.163344
0.6517 0.161056
0.6557 0.120199
0.6597 0.145720
0.6637 0.150436
0.6677 0.135701
0.6717 0.119571
0.6757 0.115070
0.6797 0.081394
0.6837 0.093630
0.6877 0.070027
0.6917 0.071191
0.6957 0.071821
0.6997 0.054148
0.7037 0.055086
0.7077 0.085486
0.7117 0.057521
0.7157 0.026898
0.7198 0.006297
0.7238 0.021036
0.7278 0.048837
0.7318 0.053875
0.7358 0.036767
0.7398 0.029549
0.7438 0.078001
0.7478 0.065728
0.7518 0.056051
0.7558 0.044343
0.7598 0.049759
0.7638 0.022571
0.7678 0.060059
0.7718 0.078781
0.7758 0.047066
0.7798 0.062682
0.7838 0.037840
0.7878 0.070970
0.7918 0.056786
0.7958 0.123369
0.7998 0.061656
0.8038 0.040926
0.8078 0.089040
0.8118 0.047792
0.8158 0.060119
0.8198 0.101865
0.8238 0.117645
0.8278 0.075556
0.8318 0.099190
0.8358 0.046397
0.8398 0.098218
0.8438 0.016350
0.8478 0.050646
0.8518 0.074266
0.8558 0.083562
0.8598 0.048945
0.8638 0.056732
0.8678 0.055215
0.8718 0.049129
0.8758 0.040863
0.8798 0.050430
0.8838 0.022423
0.8878 0.030577
0.8918 0.001252
0.8958 0.003833
0.8999 -0.007642
0.9039 0.019123
0.9079 0.045093
0.9119 0.026768
0.9159 0.089502
0.9199 0.056316
0.9239 -0.011995
0.9279 0.057001
0.9319 0.074467
0.9359 0.059925
0.9399 0.039964
0.9439 0.089642
0.9479 0.060432
0.9519 0.005481
0.9559 0.112577
0.9599 0.003161
0.9639 0.019948
0.9679 0.082956
0.9719 0.056524
0.9759 0.054683
0.9799 0.096497
0.9839 0.024216
0.9879 0.075287
0.9919 0.004331
0.9959 0.053668
0.9999 0.003325
1.0039 0.089574
1.0079 0.027493
1.0119 0.046325
1.0159 0.062138
1.0199 0.045219
1.0239 0.026581
1.0279 0.038887
1.0319 -0.015181
1.0359 0.042659
1.0399 0.055452
1.0439 0.041363
1.0479 0.033345
1.0519 0.059167
1.0559 0.019886
1.0599 0.018112
1.0639 0.017763
1.0679 -0.001769
1.0719 0.024734
1.0759 -0.004978
1.0799 0.043954
1.0840 0.034182
1.0880 0.041113
1.0920 0.062945
1.0960 0.049011
1.1000 0.037945
1.1040 0.005224
1.1080 0.028709
1.1120 0.027833
1.1160 0.030431
1.1200 0.010599
1.1240 0.028997
1.1280 0.035608
1.1320 0.014822
1.1360 0.034054
1.1400 0.009754
1.1440 0.099796
1.1480 0.066494
1.1520 0.063262
1.1560 -0.007973
1.1600 0.041251
1.1640 -0.001718
1.1680 0.025559
1.1720 0.056606
1.1760 0.046669
1.1800 0.012620
1.1840 0.012782
1.1880 -0.021756
1.1920 -0.024844
1.1960 0.033626
1.2000 0.000000
1.2040 0.006129
1.2080 -0.027743
1.2120 -0.026708
1.2160 0.017361
1.2200 -0.019572
1.2240 0.004819
1.2280 0.000804
1.2320 -0.029048
1.2360 -0.022250
1.2400 -0.072102
1.2440 -0.045986
1.2480 -0.001742
1.2520 -0.022718
1.2560 -0.000148
1.2600 0.018529
1.2640 -0.008823
1.2681 -0.060026
1.2721 -0.012818
1.2761 -0.014667
1.2801 -0.028561
1.2841 -0.029359
1.2881 -0.038497
1.2921 -0.026348
1.2961 -0.041272
1.3001 -0.078008
1.3041 -0.062538
1.3081 -0.066835
1.3121 -0.031786
1.3161 0.000508
1.3201 -0.042325
1.3241 -0.056662
1.3281 0.012453
1.3321 -0.031037
1.3361 -0.043037
1.3401 -0.036088
1.3441 -0.078588
1.3481 0.034997
1.3521 -0.031290
1.3561 -0.042325
1.3601 -0.026937
1.3641 -0.024514
1.3681 0.015292
1.3721 -0.015523
1.3761 0.010819
1.3801 0.018006
1.3841 -0.022034
1.3881 0.027826
1.3921 -0.009100
1.3961 -0.030300
1.4001 -0.007411
1.4041 0.020965
1.4081 -0.024582
1.4121 0.001231
1.4161 0.008286
1.4201 -0.009938
1.4241 -0.022895
1.4281 -0.028630
1.4321 -0.006357
1.4361 0.014188
1.4401 0.035246
1.4441 -0.038661
1.4482 -0.022279
1.4522 0.023978
1.4562 -0.021886
1.4602 -0.013303
1.4642 0.020273
1.4682 0.008620
1.4722 -0.041402
1.4762 -0.043984
1.4802 -0.009464
1.4842 -0.019539
1.4882 -0.041083
1.4922 -0.024422
1.4962 -0.023809
1.5002 -0.043789
1.5042 0.010957
1.5082 -0.008410
1.5122 0.003004
1.5162 -0.024086
1.5202 -0.018877
1.5242 -0.013712
1.5282 -0.030969
1.5322 -0.036334
1.5362 -0.011222
1.5402 -0.017563
1.5442 -0.089716
1.5482 -0.014054
