# DMA(O) -- Na in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2048 2.359638
0.2088 0.540529
0.2129 -0.351888
0.2169 -0.725290
0.2209 -0.908757
0.2249 -1.032284
0.2289 -1.202078
0.2329 -1.286532
0.2369 -1.322626
0.2409 -1.349015
0.2449 -1.354195
0.2489 -1.276932
0.2529 -1.199747
0.2569 -1.085266
0.2609 -0.900063
0.2649 -0.671927
0.2689 -0.480352
0.2729 -0.301366
0.2769 -0.120268
0.2809 0.098669
0.2849 0.277692
0.2889 0.506497
0.2929 0.667213
0.2970 0.887078
0.3010 1.054571
0.3050 1.279515
0.3090 1.365509
0.3130 1.529367
0.3170 1.628881
0.3210 1.814005
0.3250 1.829963
0.3290 1.922777
0.3330 1.912858
0.3370 1.840549
0.3410 1.710127
0.3450 1.531870
0.3490 1.429070
0.3530 1.292050
0.3570 1.137612
0.3610 0.957581
0.3650 0.781781
0.3690 0.602829
0.3730 0.536905
0.3770 0.404120
0.3811 0.343380
0.3851 0.249633
0.3891 0.182966
0.3931 0.118742
0.3971 0.060725
0.4011 0.013737
0.4051 -0.076729
0.4091 -0.149868
0.4131 -0.223609
0.4171 -0.260865
0.4211 -0.325399
0.4251 -0.385462
0.4291 -0.355270
0.4331 -0.394298
0.4371 -0.381255
0.4411 -0.363559
0.4451 -0.348776
0.4491 -0.349609
0.4531 -0.325850
0.4571 -0.367214
0.4611 -0.304709
0.4652 -0.315221
0.4692 -0.336953
0.4732 -0.321177
0.4772 -0.317807
0.4812 -0.301550
0.4852 -0.283342
0.4892 -0.290465
0.4932 -0.263404
0.4972 -0.237693
0.5012 -0.227395
0.5052 -0.167340
0.5092 -0.152767
0.5132 -0.115843
0.5172 -0.066451
0.5212 -0.065631
0.5252 -0.043169
0.5292 -0.032693
0.5332 0.019780
0.5372 -0.019557
0.5412 0.017206
0.5452 0.040597
0.5493 0.055151
0.5533 0.072522
0.5573 0.072331
0.5613 0.093232
0.5653 0.059087
0.5693 0.072944
0.5733 0.091245
0.5773 0.088450
0.5813 0.074256
0.5853 0.056634
0.5893 0.042881
0.5933 0.036066
0.5973 0.039031
0.6013 0.047066
0.6053 0.034353
0.6093 0.037067
0.6133 0.026879
0.6173 0.020678
0.6213 -0.000252
0.6253 -0.009605
0.6293 -0.051570
0.6333 -0.027970
0.6374 -0.065783
0.6414 -0.082581
0.6454 -0.099310
0.6494 -0.100583
0.6534 -0.123846
0.6574 -0.163321
0.6614 -0.150820
0.6654 -0.152828
0.6694 -0.164189
0.6734 -0.148959
0.6774 -0.185954
0.6814 -0.192710
0.6854 -0.205949
0.6894 -0.223665
0.6934 -0.186543
0.6974 -0.187249
0.7014 -0.236207
0.7054 -0.248064
0.7094 -0.244600
0.7134 -0.230671
0.7174 -0.214932
0.7215 -0.205440
0.7255 -0.215047
0.7295 -0.197748
0.7335 -0.183597
0.7375 -0.199692
0.7415 -0.195352
0.7455 -0.171640
0.7495 -0.179307
0.7535 -0.175714
0.7575 -0.162574
0.7615 -0.183428
0.7655 -0.169205
0.7695 -0.179955
0.7735 -0.150578
0.7775 -0.201124
0.7815 -0.198448
0.7855 -0.158336
0.7895 -0.203665
0.7935 -0.095537
0.7975 -0.164203
0.8015 -0.158174
0.8056 -0.122606
0.8096 -0.111870
0.8136 -0.123395
0.8176 -0.121168
0.8216 -0.078576
0.8256 -0.123132
0.8296 -0.151458
0.8336 -0.146097
0.8376 -0.100176
0.8416 -0.131943
0.8456 -0.194008
0.8496 -0.117470
0.8536 -0.155922
0.8576 -0.149335
0.8616 -0.148567
0.8656 -0.180863
0.8696 -0.120273
0.8736 -0.084979
0.8776 -0.125748
0.8816 -0.165280
0.8856 -0.154471
0.8897 -0.149509
0.8937 -0.157466
0.8977 -0.140554
0.9017 -0.114128
0.9057 -0.142563
0.9097 -0.176249
0.9137 -0.151739
0.9177 -0.140653
0.9217 -0.114498
0.9257 -0.190364
0.9297 -0.140525
0.9337 -0.193660
0.9377 -0.216380
0.9417 -0.149715
0.9457 -0.148225
0.9497 -0.140610
0.9537 -0.128040
0.9577 -0.147620
0.9617 -0.151834
0.9657 -0.091117
0.9697 -0.117322
0.9738 -0.153942
0.9778 -0.135467
0.9818 -0.020645
0.9858 -0.068563
0.9898 -0.151535
0.9938 -0.181549
0.9978 -0.097584
1.0018 -0.112103
1.0058 -0.085132
1.0098 -0.123952
1.0138 -0.121429
1.0178 -0.076621
1.0218 -0.128648
1.0258 -0.147391
1.0298 -0.089205
1.0338 -0.132239
1.0378 -0.147718
1.0418 -0.128120
1.0458 -0.140758
1.0498 -0.163754
1.0538 -0.129523
1.0579 -0.207716
1.0619 -0.077638
1.0659 -0.122805
1.0699 -0.184006
1.0739 -0.107494
1.0779 -0.170006
1.0819 -0.187756
1.0859 -0.171457
1.0899 -0.159212
1.0939 -0.121915
1.0979 -0.203332
1.1019 -0.193793
1.1059 -0.134396
1.1099 -0.192664
1.1139 -0.159666
1.1179 -0.191652
1.1219 -0.173978
1.1259 -0.128573
1.1299 -0.181771
1.1339 -0.149307
1.1379 -0.166679
1.1420 -0.128199
1.1460 -0.090986
1.1500 -0.116685
1.1540 -0.115723
1.1580 -0.111216
1.1620 -0.049241
1.1660 -0.059889
1.1700 -0.062896
1.1740 -0.110118
1.1780 -0.056472
1.1820 -0.076208
1.1860 -0.026871
1.1900 -0.007684
1.1940 0.030831
1.1980 0.000000
1.2020 0.019241
1.2060 -0.024316
1.2100 0.029887
1.2140 0.040366
1.2180 0.011934
1.2220 0.053298
1.2261 -0.008787
1.2301 0.001886
1.2341 0.061716
1.2381 -0.005342
1.2421 0.033896
1.2461 -0.016025
1.2501 0.049297
1.2541 -0.011040
1.2581 0.048011
1.2621 0.023461
1.2661 0.072971
1.2701 0.072316
1.2741 0.019664
1.2781 0.017676
1.2821 0.018779
1.2861 0.063589
1.2901 0.065238
1.2941 0.076712
1.2981 0.042503
1.3021 0.015855
1.3061 0.052449
1.3101 0.047736
1.3142 0.062256
1.3182 0.075546
1.3222 0.059762
1.3262 0.011224
1.3302 0.080607
1.3342 0.011046
1.3382 0.012484
1.3422 0.079889
1.3462 0.061512
1.3502 0.062284
1.3542 0.037067
1.3582 -0.034435
1.3622 -0.007748
1.3662 0.037108
1.3702 0.021493
1.3742 0.010897
1.3782 0.018315
1.3822 0.014113
1.3862 -0.057150
1.3902 0.006744
1.3942 -0.012839
1.3983 0.020637
1.4023 0.006657
1.4063 0.001210
1.4103 -0.024817
1.4143 -0.003341
1.4183 -0.018500
1.4223 -0.001987
1.4263 -0.019854
1.4303 -0.009723
1.4343 0.043357
1.4383 -0.000489
1.4423 -0.004068
1.4463 0.044088
1.4503 0.018070
1.4543 0.008495
1.4583 -0.017801
1.4623 -0.014987
1.4663 0.026681
1.4703 0.002936
1.4743 0.027633
1.4783 0.045753
1.4824 0.028590
1.4864 0.003904
1.4904 0.023328
1.4944 0.034930
1.4984 0.023092
1.5024 0.014059
1.5064 0.029417
1.5104 0.051098
1.5144 0.060987
1.5184 0.062144
1.5224 0.046209
1.5264 0.068315
1.5304 0.070958
1.5344 0.064931
1.5384 0.077158
1.5424 0.078450
1.5464 0.067594
