# Na -- Ca (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2261 18.489815
0.2311 17.758297
0.2361 16.428424
0.2411 14.977290
0.2461 13.709525
0.2511 12.775104
0.2561 12.177528
0.2611 11.739820
0.2661 11.234059
0.2711 10.560402
0.2761 9.734382
0.2811 8.834531
0.2861 7.939016
0.2911 7.081798
0.2961 6.272380
0.3011 5.513371
0.3061 4.818308
0.3111 4.186612
0.3161 3.597487
0.3211 3.061212
0.3261 2.594899
0.3311 2.172343
0.3361 1.780198
0.3411 1.416539
0.3461 1.078541
0.3511 0.767093
0.3561 0.481340
0.3611 0.223074
0.3661 -0.006632
0.3711 -0.192691
0.3761 -0.332054
0.3811 -0.433449
0.3861 -0.507701
0.3911 -0.563369
0.3961 -0.608626
0.4011 -0.642004
0.4061 -0.659429
0.4111 -0.653901
0.4161 -0.619683
0.4211 -0.565970
0.4261 -0.498636
0.4311 -0.421616
0.4361 -0.341735
0.4411 -0.263213
0.4461 -0.199989
0.4511 -0.145401
0.4561 -0.092839
0.4611 -0.042017
0.4661 0.001503
0.4711 0.039275
0.4761 0.087748
0.4811 0.145587
0.4861 0.190714
0.4911 0.215949
0.4961 0.231841
0.5011 0.236997
0.5061 0.246953
0.5111 0.276082
0.5161 0.295961
0.5211 0.290853
0.5261 0.265075
0.5311 0.218938
0.5361 0.180008
0.5411 0.152048
0.5461 0.123164
0.5511 0.082440
0.5561 0.029378
0.5611 -0.025710
0.5661 -0.082593
0.5711 -0.143817
0.5761 -0.210938
0.5811 -0.275307
0.5861 -0.330800
0.5911 -0.379290
0.5961 -0.417433
0.6011 -0.451686
0.6061 -0.487544
0.6111 -0.510904
0.6161 -0.530387
0.6211 -0.548514
0.6261 -0.560902
0.6311 -0.564894
0.6361 -0.556404
0.6411 -0.543159
0.6461 -0.536196
0.6511 -0.538424
0.6561 -0.539914
0.6611 -0.530655
0.6661 -0.506667
0.6711 -0.466038
0.6761 -0.416885
0.6811 -0.379118
0.6861 -0.359438
0.6911 -0.345001
0.6961 -0.331717
0.7011 -0.317559
0.7061 -0.292494
0.7111 -0.250105
0.7161 -0.198171
0.7211 -0.161036
0.7261 -0.147415
0.7311 -0.143079
0.7361 -0.142005
0.7411 -0.138698
0.7461 -0.121845
0.7511 -0.097493
0.7561 -0.078289
0.7611 -0.061925
0.7661 -0.038827
0.7711 -0.020054
0.7761 -0.022685
0.7811 -0.022543
0.7861 -0.028854
0.7911 -0.057097
0.7961 -0.072776
0.8011 -0.065807
0.8061 -0.047861
0.8111 -0.041797
0.8161 -0.072430
0.8211 -0.113007
0.8261 -0.140611
0.8311 -0.160810
0.8361 -0.179340
0.8411 -0.186862
0.8461 -0.187553
0.8511 -0.191973
0.8561 -0.198924
0.8611 -0.193049
0.8661 -0.170582
0.8711 -0.154518
0.8761 -0.145696
0.8811 -0.124637
0.8861 -0.108544
0.8911 -0.111186
0.8961 -0.117002
0.9011 -0.122058
0.9061 -0.115366
0.9111 -0.101767
0.9161 -0.101939
0.9211 -0.116667
0.9261 -0.124605
0.9311 -0.124061
0.9361 -0.124241
0.9411 -0.117602
0.9461 -0.104459
0.9511 -0.085555
0.9561 -0.069416
0.9611 -0.065906
0.9661 -0.069185
0.9711 -0.065967
0.9761 -0.056329
0.9811 -0.053828
0.9861 -0.063854
0.9911 -0.071399
0.9961 -0.062042
