# Na -- Ca in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2261 38.797596
0.2301 36.555047
0.2341 36.433285
0.2381 35.184731
0.2421 34.046790
0.2461 33.090192
0.2501 31.570764
0.2541 30.006599
0.2581 27.937756
0.2621 25.912969
0.2661 24.202671
0.2701 22.617029
0.2741 21.147100
0.2781 19.756196
0.2821 18.500178
0.2861 17.366975
0.2901 16.319650
0.2941 15.313546
0.2981 14.397924
0.3021 13.576488
0.3061 12.798981
0.3101 12.071546
0.3141 11.381826
0.3181 10.774559
0.3221 10.229847
0.3261 9.623700
0.3301 9.134112
0.3341 8.619352
0.3381 8.181451
0.3421 7.725762
0.3461 7.332446
0.3501 6.938268
0.3541 6.597222
0.3581 6.271120
0.3621 5.947923
0.3661 5.697407
0.3701 5.398584
0.3741 5.152172
0.3781 4.922514
0.3821 4.672042
0.3860 4.473510
0.3900 4.258720
0.3940 4.033216
0.3980 3.916332
0.4020 3.739796
0.4060 3.601468
0.4100 3.454313
0.4140 3.295004
0.4180 3.153861
0.4220 3.018592
0.4260 2.862378
0.4300 2.759002
0.4340 2.674251
0.4380 2.565836
0.4420 2.454929
0.4460 2.385465
0.4500 2.269907
0.4540 2.224830
0.4580 2.132332
0.4620 2.022538
0.4660 1.986473
0.4700 1.914641
0.4740 1.864806
0.4780 1.765086
0.4820 1.703313
0.4860 1.624520
0.4900 1.634980
0.4940 1.532042
0.4980 1.526262
0.5020 1.509091
0.5060 1.484973
0.5100 1.394800
0.5140 1.315454
0.5180 1.303818
0.5220 1.246267
0.5260 1.203103
0.5300 1.244985
0.5340 1.174383
0.5380 1.142500
0.5420 1.127487
0.5460 1.090201
0.5500 1.045449
0.5540 1.026478
0.5580 1.021102
0.5620 0.997564
0.5660 0.920863
0.5700 0.912765
0.5740 0.914187
0.5780 0.884727
0.5820 0.855747
0.5860 0.851239
0.5900 0.834172
0.5940 0.831698
0.5980 0.791300
0.6020 0.731988
0.6060 0.758620
0.6100 0.706901
0.6140 0.693647
0.6180 0.719664
0.6220 0.679872
0.6260 0.669335
0.6300 0.641156
0.6340 0.626467
0.6380 0.590566
0.6420 0.597039
0.6460 0.582180
0.6500 0.571033
0.6540 0.554215
0.6580 0.562217
0.6620 0.534238
0.6659 0.528796
0.6699 0.484134
0.6739 0.457316
0.6779 0.447930
0.6819 0.447959
0.6859 0.430070
0.6899 0.428697
0.6939 0.415354
0.6979 0.463928
0.7019 0.442172
0.7059 0.427703
0.7099 0.406480
0.7139 0.404711
0.7179 0.354240
0.7219 0.350326
0.7259 0.359438
0.7299 0.351073
0.7339 0.390456
0.7379 0.342091
0.7419 0.340068
0.7459 0.348272
0.7499 0.319184
0.7539 0.286950
0.7579 0.304425
0.7619 0.290685
0.7659 0.269072
0.7699 0.246205
0.7739 0.229535
0.7779 0.313638
0.7819 0.207828
0.7859 0.206100
0.7899 0.270846
0.7939 0.255753
0.7979 0.242922
0.8019 0.192221
0.8059 0.207972
0.8099 0.140236
0.8139 0.191129
0.8179 0.203866
0.8219 0.183645
0.8259 0.224085
0.8299 0.249973
0.8339 0.192892
0.8379 0.307036
0.8419 0.198398
0.8459 0.213830
0.8499 0.212329
0.8539 0.181541
0.8579 0.187643
0.8619 0.186359
0.8659 0.141318
0.8699 0.098853
0.8739 0.127196
0.8779 0.139374
0.8819 0.056937
0.8859 0.078535
0.8899 0.105018
0.8939 0.041784
0.8979 0.092438
0.9019 0.087820
0.9059 0.094177
0.9099 0.105914
0.9139 0.087767
0.9179 0.044993
0.9219 0.090015
0.9259 0.086170
0.9299 0.071417
0.9339 0.107936
0.9379 0.082759
0.9419 0.031813
0.9458 0.076556
0.9498 0.066931
0.9538 0.048992
0.9578 0.058530
0.9618 0.069333
0.9658 0.016096
0.9698 0.034887
0.9738 0.027719
0.9778 0.027643
0.9818 0.025265
0.9858 0.015839
0.9898 0.024589
0.9938 0.003295
0.9978 -0.018757
1.0018 0.000000
1.0058 0.028301
1.0098 -0.039230
1.0138 0.039926
1.0178 -0.033359
1.0218 -0.114054
1.0258 -0.052260
1.0298 -0.021062
1.0338 -0.022886
1.0378 -0.030792
1.0418 -0.075225
1.0458 -0.051556
1.0498 -0.054812
1.0538 -0.049562
1.0578 -0.074198
1.0618 -0.048001
1.0658 -0.109523
1.0698 -0.116316
1.0738 -0.096778
1.0778 -0.117172
1.0818 -0.097444
1.0858 -0.107853
1.0898 -0.094907
1.0938 -0.114900
1.0978 -0.114862
1.1018 -0.063207
1.1058 -0.133979
1.1098 -0.099301
1.1138 -0.056876
1.1178 -0.103183
1.1218 -0.031312
1.1258 -0.103286
1.1298 -0.105024
1.1338 -0.113120
1.1378 -0.140492
1.1418 -0.184855
1.1458 -0.199749
1.1498 -0.166235
1.1538 -0.192265
1.1578 -0.189722
1.1618 -0.229763
1.1658 -0.159448
1.1698 -0.207046
1.1738 -0.216116
1.1778 -0.164318
1.1818 -0.161330
1.1858 -0.178430
1.1898 -0.148302
1.1938 -0.160773
1.1978 -0.152467
1.2018 -0.121120
1.2058 -0.118051
1.2098 -0.134961
1.2138 -0.182471
1.2178 -0.229078
1.2218 -0.180471
1.2258 -0.211226
1.2297 -0.216745
1.2337 -0.206988
1.2377 -0.192085
1.2417 -0.268552
1.2457 -0.246395
1.2497 -0.231238
1.2537 -0.185405
1.2577 -0.260979
1.2617 -0.247830
1.2657 -0.227238
1.2697 -0.200935
1.2737 -0.177229
1.2777 -0.157985
1.2817 -0.175206
1.2857 -0.203581
1.2897 -0.206219
1.2937 -0.143502
1.2977 -0.164037
1.3017 -0.234563
1.3057 -0.255056
1.3097 -0.209091
1.3137 -0.245967
1.3177 -0.259588
1.3217 -0.260619
1.3257 -0.242948
1.3297 -0.282837
1.3337 -0.309933
1.3377 -0.210595
1.3417 -0.283570
1.3457 -0.248746
1.3497 -0.281546
1.3537 -0.290042
1.3577 -0.277423
1.3617 -0.306651
1.3657 -0.265771
1.3697 -0.288718
1.3737 -0.309735
1.3777 -0.275479
1.3817 -0.310470
1.3857 -0.299318
1.3897 -0.307685
1.3937 -0.303103
1.3977 -0.276808
1.4017 -0.281877
1.4057 -0.308523
1.4097 -0.303198
1.4137 -0.315530
1.4177 -0.333304
1.4217 -0.320007
1.4257 -0.275668
1.4297 -0.270742
1.4337 -0.248934
1.4377 -0.238593
1.4417 -0.367057
1.4457 -0.313609
1.4497 -0.293070
1.4537 -0.341100
1.4577 -0.265345
1.4617 -0.346337
1.4657 -0.338215
1.4697 -0.332048
1.4737 -0.368480
1.4777 -0.334599
1.4817 -0.335256
1.4857 -0.399221
1.4897 -0.366914
1.4937 -0.385501
1.4977 -0.340052
1.5017 -0.310786
1.5057 -0.356735
1.5097 -0.348337
1.5136 -0.301248
1.5176 -0.301152
1.5216 -0.314111
1.5256 -0.339452
1.5296 -0.397139
1.5336 -0.360555
1.5376 -0.353291
1.5416 -0.294870
1.5456 -0.377397
1.5496 -0.353070
