# Na -- Ca in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2222 47.994227
0.2263 46.579135
0.2303 45.861212
0.2343 45.881766
0.2383 45.901976
0.2423 42.925445
0.2463 41.548958
0.2503 40.523511
0.2543 39.849328
0.2583 37.956888
0.2623 37.907211
0.2663 35.030002
0.2703 32.807338
0.2743 31.137869
0.2783 29.106847
0.2823 27.192089
0.2863 25.283929
0.2903 23.554068
0.2943 21.923870
0.2983 20.410175
0.3023 18.979533
0.3063 17.639945
0.3103 16.399524
0.3143 15.217062
0.3184 14.136632
0.3224 13.131105
0.3264 12.238805
0.3304 11.383140
0.3344 10.573890
0.3384 9.836197
0.3424 9.131902
0.3464 8.457587
0.3504 7.831673
0.3544 7.223630
0.3584 6.712953
0.3624 6.191288
0.3664 5.743373
0.3704 5.327711
0.3744 4.932332
0.3784 4.601958
0.3824 4.309354
0.3864 4.032206
0.3904 3.799693
0.3944 3.537741
0.3984 3.348790
0.4024 3.162619
0.4064 3.027860
0.4105 2.897400
0.4145 2.756707
0.4185 2.627193
0.4225 2.581688
0.4265 2.463730
0.4305 2.455578
0.4345 2.347265
0.4385 2.302518
0.4425 2.304613
0.4465 2.237990
0.4505 2.205907
0.4545 2.175928
0.4585 2.203806
0.4625 2.183959
0.4665 2.136968
0.4705 2.091315
0.4745 2.023550
0.4785 2.011440
0.4825 1.981093
0.4865 1.982574
0.4905 1.923155
0.4945 1.933383
0.4986 1.895365
0.5026 1.868632
0.5066 1.811099
0.5106 1.815937
0.5146 1.780318
0.5186 1.741878
0.5226 1.676615
0.5266 1.626344
0.5306 1.555484
0.5346 1.467330
0.5386 1.447882
0.5426 1.321209
0.5466 1.268912
0.5506 1.202891
0.5546 1.160619
0.5586 1.122666
0.5626 1.021187
0.5666 0.965926
0.5706 0.890821
0.5746 0.811252
0.5786 0.748423
0.5826 0.639485
0.5866 0.618543
0.5907 0.553720
0.5947 0.463162
0.5987 0.410816
0.6027 0.385901
0.6067 0.355443
0.6107 0.301551
0.6147 0.297401
0.6187 0.290312
0.6227 0.252038
0.6267 0.193354
0.6307 0.215174
0.6347 0.201784
0.6387 0.186716
0.6427 0.154478
0.6467 0.163633
0.6507 0.140180
0.6547 0.148885
0.6587 0.119814
0.6627 0.137201
0.6667 0.127989
0.6707 0.172111
0.6747 0.214280
0.6787 0.237455
0.6828 0.201884
0.6868 0.253730
0.6908 0.200974
0.6948 0.190039
0.6988 0.202572
0.7028 0.161533
0.7068 0.184888
0.7108 0.260313
0.7148 0.274751
0.7188 0.372217
0.7228 0.331921
0.7268 0.335324
0.7308 0.283458
0.7348 0.253056
0.7388 0.282136
0.7428 0.289952
0.7468 0.229247
0.7508 0.290145
0.7548 0.321210
0.7588 0.366469
0.7628 0.352383
0.7668 0.367039
0.7709 0.358373
0.7749 0.295719
0.7789 0.321161
0.7829 0.307515
0.7869 0.322373
0.7909 0.302149
0.7949 0.269858
0.7989 0.234447
0.8029 0.280275
0.8069 0.257371
0.8109 0.241156
0.8149 0.219417
0.8189 0.220225
0.8229 0.166880
0.8269 0.167514
0.8309 0.169924
0.8349 0.100650
0.8389 0.047774
0.8429 0.101783
0.8469 0.099781
0.8509 0.069587
0.8549 0.077903
0.8589 0.017831
0.8630 0.029452
0.8670 0.046699
0.8710 0.064286
0.8750 0.056215
0.8790 0.047339
0.8830 0.090665
0.8870 0.100451
0.8910 0.082937
0.8950 0.048151
0.8990 0.033353
0.9030 0.057559
0.9070 0.043220
0.9110 0.052961
0.9150 0.054563
0.9190 0.061067
0.9230 0.054047
0.9270 0.024421
0.9310 0.020874
0.9350 -0.010927
0.9390 0.000183
0.9430 -0.007538
0.9470 0.070606
0.9511 0.011494
0.9551 0.018990
0.9591 0.015757
0.9631 0.028939
0.9671 0.061160
0.9711 0.024638
0.9751 0.020431
0.9791 0.079856
0.9831 -0.005634
0.9871 0.009421
0.9911 -0.046204
0.9951 -0.011391
0.9991 0.000000
1.0031 0.026456
1.0071 -0.038072
1.0111 -0.019582
1.0151 -0.048682
1.0191 -0.012413
1.0231 -0.031339
1.0271 -0.051951
1.0311 -0.020744
1.0351 -0.010168
1.0391 -0.019326
1.0432 -0.011277
1.0472 -0.062638
1.0512 -0.065994
1.0552 -0.057661
1.0592 -0.129740
1.0632 -0.065001
1.0672 -0.033880
1.0712 -0.089992
1.0752 -0.046455
1.0792 -0.089516
1.0832 -0.084298
1.0872 -0.060005
1.0912 -0.019001
1.0952 -0.103233
1.0992 -0.061259
1.1032 -0.104999
1.1072 -0.112561
1.1112 -0.056447
1.1152 -0.073135
1.1192 -0.124900
1.1232 -0.085759
1.1272 -0.051494
1.1313 -0.100522
1.1353 -0.118731
1.1393 -0.136486
1.1433 -0.138844
1.1473 -0.142055
1.1513 -0.156422
1.1553 -0.147707
1.1593 -0.136297
1.1633 -0.157499
1.1673 -0.161178
1.1713 -0.122166
1.1753 -0.179436
1.1793 -0.170110
1.1833 -0.178545
1.1873 -0.185496
1.1913 -0.097736
1.1953 -0.174232
1.1993 -0.101395
1.2033 -0.104136
1.2073 -0.144520
1.2113 -0.146346
1.2153 -0.185690
1.2193 -0.118952
1.2234 -0.186785
1.2274 -0.160217
1.2314 -0.187270
1.2354 -0.160525
1.2394 -0.182093
1.2434 -0.175677
1.2474 -0.183521
1.2514 -0.164352
1.2554 -0.162934
1.2594 -0.179471
1.2634 -0.162206
1.2674 -0.154203
1.2714 -0.193406
1.2754 -0.223835
1.2794 -0.162538
1.2834 -0.168659
1.2874 -0.191946
1.2914 -0.194861
1.2954 -0.168578
1.2994 -0.226350
1.3034 -0.164089
1.3074 -0.199925
1.3114 -0.215284
1.3155 -0.211571
1.3195 -0.255055
1.3235 -0.246150
1.3275 -0.207613
1.3315 -0.197727
1.3355 -0.241625
1.3395 -0.262816
1.3435 -0.264438
1.3475 -0.183435
1.3515 -0.260087
1.3555 -0.229819
1.3595 -0.243711
1.3635 -0.240116
1.3675 -0.197568
1.3715 -0.243689
1.3755 -0.275620
1.3795 -0.222087
1.3835 -0.229048
1.3875 -0.247659
1.3915 -0.229511
1.3955 -0.210938
1.3995 -0.241550
1.4036 -0.199049
1.4076 -0.242138
1.4116 -0.219167
1.4156 -0.231924
1.4196 -0.250570
1.4236 -0.224031
1.4276 -0.224254
1.4316 -0.274157
1.4356 -0.249468
1.4396 -0.271496
1.4436 -0.303322
1.4476 -0.289407
1.4516 -0.275067
1.4556 -0.330746
1.4596 -0.270493
1.4636 -0.284063
1.4676 -0.326831
1.4716 -0.298166
1.4756 -0.296700
1.4796 -0.270957
1.4836 -0.323980
1.4876 -0.298225
1.4916 -0.355952
1.4957 -0.269301
1.4997 -0.319361
1.5037 -0.285023
1.5077 -0.313983
1.5117 -0.280048
1.5157 -0.306892
1.5197 -0.311852
1.5237 -0.320573
1.5277 -0.318927
1.5317 -0.298105
1.5357 -0.295233
1.5397 -0.292196
1.5437 -0.345258
1.5477 -0.306520
