# Na -- Ca in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2615 38.025180
0.2655 35.813218
0.2695 33.738936
0.2735 31.626169
0.2775 29.432015
0.2815 27.410534
0.2855 25.537501
0.2895 23.765625
0.2935 22.097947
0.2975 20.553708
0.3015 19.093444
0.3055 17.740662
0.3095 16.519248
0.3135 15.364503
0.3176 14.256348
0.3216 13.240947
0.3256 12.333771
0.3296 11.472165
0.3336 10.640226
0.3376 9.887765
0.3416 9.160016
0.3456 8.468240
0.3496 7.847962
0.3536 7.239605
0.3576 6.676621
0.3616 6.195753
0.3656 5.706054
0.3696 5.274138
0.3736 4.878576
0.3776 4.558389
0.3816 4.253949
0.3856 3.976098
0.3896 3.745665
0.3936 3.461752
0.3976 3.291338
0.4016 3.109465
0.4056 2.953669
0.4096 2.779732
0.4136 2.658475
0.4176 2.560069
0.4216 2.468508
0.4256 2.346593
0.4296 2.353705
0.4336 2.287227
0.4376 2.234638
0.4416 2.251654
0.4456 2.178680
0.4496 2.130282
0.4536 2.103138
0.4576 2.064621
0.4616 2.001301
0.4656 2.006107
0.4696 1.942189
0.4736 1.899020
0.4776 1.887027
0.4817 1.868067
0.4857 1.838985
0.4897 1.836235
0.4937 1.766333
0.4977 1.785057
0.5017 1.747611
0.5057 1.699886
0.5097 1.680199
0.5137 1.631168
0.5177 1.633100
0.5217 1.518302
0.5257 1.527156
0.5297 1.419230
0.5337 1.394131
0.5377 1.310370
0.5417 1.272063
0.5457 1.226595
0.5497 1.167820
0.5537 1.078824
0.5577 1.020185
0.5617 0.978921
0.5657 0.837309
0.5697 0.799505
0.5737 0.744667
0.5777 0.642536
0.5817 0.567041
0.5857 0.526534
0.5897 0.469825
0.5937 0.407752
0.5977 0.360300
0.6017 0.312637
0.6057 0.235286
0.6097 0.221652
0.6137 0.184162
0.6177 0.161574
0.6217 0.131891
0.6257 0.112621
0.6297 0.061795
0.6337 0.050732
0.6377 0.052109
0.6417 0.054623
0.6457 0.058301
0.6498 0.033723
0.6538 0.009250
0.6578 0.012834
0.6618 0.001651
0.6658 0.011602
0.6698 -0.004600
0.6738 0.014080
0.6778 0.063586
0.6818 0.092905
0.6858 0.064217
0.6898 0.064216
0.6938 0.117979
0.6978 0.109882
0.7018 0.122443
0.7058 0.126231
0.7098 0.130763
0.7138 0.165946
0.7178 0.210157
0.7218 0.211850
0.7258 0.206380
0.7298 0.225463
0.7338 0.215760
0.7378 0.234975
0.7418 0.176504
0.7458 0.218588
0.7498 0.234985
0.7538 0.192900
0.7578 0.236804
0.7618 0.230181
0.7658 0.202752
0.7698 0.296275
0.7738 0.216739
0.7778 0.227951
0.7818 0.199870
0.7858 0.227165
0.7898 0.187925
0.7938 0.152675
0.7978 0.178893
0.8018 0.126165
0.8058 0.139601
0.8098 0.168898
0.8138 0.171012
0.8179 0.064104
0.8219 0.071914
0.8259 0.070820
0.8299 0.113389
0.8339 0.026898
0.8379 0.081197
0.8419 0.022287
0.8459 0.029000
0.8499 0.012459
0.8539 0.027391
0.8579 -0.057529
0.8619 -0.021871
0.8659 -0.019899
0.8699 -0.021798
0.8739 -0.048972
0.8779 -0.029732
0.8819 -0.052817
0.8859 0.004131
0.8899 -0.027917
0.8939 -0.097139
0.8979 0.032090
0.9019 -0.075931
0.9059 -0.026127
0.9099 0.019840
0.9139 -0.021994
0.9179 -0.017856
0.9219 -0.054985
0.9259 -0.053485
0.9299 -0.007936
0.9339 -0.059657
0.9379 -0.043006
0.9419 -0.074135
0.9459 -0.041170
0.9499 -0.015927
0.9539 -0.035037
0.9579 0.020944
0.9619 0.002964
0.9659 -0.057251
0.9699 -0.065487
0.9739 0.011105
0.9779 -0.042887
0.9819 -0.020009
0.9860 -0.030302
0.9900 -0.112864
0.9940 -0.038924
0.9980 -0.060653
1.0020 0.000000
1.0060 -0.047660
1.0100 -0.069831
1.0140 -0.010294
1.0180 -0.067462
1.0220 -0.013600
1.0260 -0.056417
1.0300 0.019371
1.0340 -0.046185
1.0380 -0.010660
1.0420 0.025208
1.0460 0.011422
1.0500 0.010966
1.0540 0.010263
1.0580 0.087669
1.0620 0.002590
1.0660 0.028950
1.0700 0.042156
1.0740 0.036125
1.0780 -0.021916
1.0820 -0.027791
1.0860 0.003509
1.0900 -0.004310
1.0940 0.018108
1.0980 -0.069881
1.1020 -0.053890
1.1060 -0.029115
1.1100 -0.036646
1.1140 -0.008122
1.1180 -0.041689
1.1220 -0.054930
1.1260 -0.056930
1.1300 0.015953
1.1340 -0.034992
1.1380 0.005258
1.1420 0.052351
1.1460 0.018917
1.1501 0.035380
1.1541 0.029790
1.1581 0.030250
1.1621 0.041499
1.1661 0.017380
1.1701 -0.005777
1.1741 0.020683
1.1781 0.050741
1.1821 0.043492
1.1861 0.012081
1.1901 0.013933
1.1941 0.051183
1.1981 0.069022
1.2021 0.033617
1.2061 -0.003869
1.2101 0.039662
1.2141 0.071444
1.2181 0.015605
1.2221 0.081015
1.2261 0.053957
1.2301 0.054683
1.2341 0.095966
1.2381 0.034919
1.2421 0.064917
1.2461 0.109357
1.2501 0.118095
1.2541 0.096289
1.2581 0.096573
1.2621 0.073888
1.2661 0.142493
1.2701 0.120532
1.2741 0.130382
1.2781 0.166425
1.2821 0.122240
1.2861 0.140393
1.2901 0.151058
1.2941 0.135668
1.2981 0.096459
1.3021 0.148512
1.3061 0.125930
1.3101 0.142757
1.3141 0.165969
1.3182 0.159115
1.3222 0.133767
1.3262 0.133378
1.3302 0.175632
1.3342 0.141004
