# Na -- Cl (Amber03) Difference Data: DFT (Duignan) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2226 3.244963
0.2276 1.964706
0.2326 0.215458
0.2376 -1.241700
0.2426 -1.850193
0.2476 -1.447489
0.2526 -0.616635
0.2576 0.159600
0.2626 0.791975
0.2676 1.298342
0.2726 1.718741
0.2776 2.083420
0.2826 2.397155
0.2876 2.657596
0.2926 2.874191
0.2976 3.071363
0.3026 3.266345
0.3076 3.448720
0.3126 3.613783
0.3176 3.763519
0.3226 3.900669
0.3276 4.024636
0.3326 4.135177
0.3376 4.228165
0.3426 4.282062
0.3476 4.289089
0.3526 4.266964
0.3576 4.224101
0.3626 4.156149
0.3676 4.060793
0.3726 3.920846
0.3776 3.726947
0.3826 3.499226
0.3876 3.257763
0.3926 3.011526
0.3976 2.755877
0.4026 2.488208
0.4076 2.219568
0.4126 1.966604
0.4176 1.735109
0.4226 1.519057
0.4276 1.314627
0.4326 1.122998
0.4376 0.951668
0.4426 0.803809
0.4476 0.671136
0.4526 0.543404
0.4576 0.425738
0.4626 0.321947
0.4676 0.233003
0.4726 0.158291
0.4776 0.090985
0.4826 0.030429
0.4876 -0.014133
0.4926 -0.044416
0.4976 -0.065102
0.5026 -0.085485
0.5076 -0.112832
0.5126 -0.143158
0.5176 -0.166980
0.5226 -0.176833
0.5276 -0.173327
0.5326 -0.164314
0.5376 -0.154440
0.5426 -0.138712
0.5476 -0.115387
0.5526 -0.097421
0.5576 -0.084770
0.5626 -0.052762
0.5676 0.001808
0.5726 0.050406
0.5776 0.095377
0.5826 0.144035
0.5876 0.193402
0.5926 0.231534
0.5976 0.255842
0.6026 0.277937
0.6076 0.297078
0.6126 0.316645
0.6176 0.334677
0.6226 0.337391
0.6276 0.320513
0.6326 0.307661
0.6376 0.301827
0.6426 0.293196
0.6476 0.269655
0.6526 0.225610
0.6576 0.183427
0.6626 0.156267
0.6676 0.142092
0.6726 0.136487
0.6776 0.126237
0.6826 0.103575
0.6876 0.074203
0.6926 0.053587
0.6976 0.042731
0.7026 0.030764
0.7076 0.017491
0.7126 0.005836
0.7176 -0.007825
0.7226 -0.017311
0.7276 -0.021145
0.7326 -0.026843
0.7376 -0.035102
0.7426 -0.048122
0.7476 -0.059019
0.7526 -0.062587
0.7576 -0.063401
0.7626 -0.060089
0.7676 -0.049073
0.7726 -0.036949
0.7776 -0.030947
0.7826 -0.031765
0.7876 -0.035109
0.7926 -0.034570
0.7976 -0.029331
0.8026 -0.011951
0.8076 0.004548
0.8126 0.020171
0.8176 0.050080
0.8226 0.074625
0.8276 0.081919
0.8326 0.089269
0.8376 0.090736
0.8426 0.083662
0.8476 0.076518
0.8526 0.071288
0.8576 0.065697
0.8626 0.068958
0.8676 0.080363
0.8726 0.084094
0.8776 0.086475
0.8826 0.089494
0.8876 0.089527
0.8926 0.088027
0.8976 0.078050
0.9026 0.060981
0.9076 0.055362
0.9126 0.062861
0.9176 0.062500
0.9226 0.057497
0.9276 0.062959
0.9326 0.078488
0.9376 0.094972
0.9426 0.087869
0.9476 0.070104
0.9526 0.066858
0.9576 0.074286
0.9626 0.078198
0.9676 0.071951
0.9726 0.065932
0.9776 0.055778
0.9826 0.036186
0.9876 0.036687
0.9926 0.036586
0.9976 0.023930
