# Na -- Cl (Amber03) Difference Data: DFT (Duignan) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2300 1.786689
0.2350 1.585846
0.2400 1.482618
0.2450 1.685638
0.2500 2.048652
0.2550 2.367232
0.2600 2.526086
0.2650 2.546986
0.2700 2.477481
0.2750 2.360472
0.2800 2.222827
0.2850 2.082337
0.2900 1.944334
0.2950 1.822203
0.3000 1.718587
0.3050 1.629511
0.3100 1.562581
0.3150 1.512146
0.3200 1.470002
0.3250 1.451441
0.3300 1.457876
0.3350 1.471307
0.3400 1.470311
0.3450 1.436147
0.3500 1.388952
0.3550 1.344101
0.3600 1.288536
0.3650 1.222901
0.3700 1.150062
0.3750 1.059066
0.3800 0.963330
0.3850 0.870057
0.3900 0.766381
0.3950 0.648031
0.4000 0.530803
0.4050 0.436650
0.4100 0.354110
0.4150 0.270361
0.4200 0.195720
0.4250 0.135391
0.4300 0.086549
0.4350 0.054702
0.4400 0.039421
0.4450 0.031268
0.4500 0.021814
0.4550 0.013101
0.4600 0.004920
0.4650 -0.013652
0.4700 -0.034717
0.4750 -0.047259
0.4800 -0.056502
0.4850 -0.060207
0.4900 -0.063623
0.4950 -0.070076
0.5000 -0.069833
0.5050 -0.057517
0.5100 -0.037587
0.5150 -0.018108
0.5200 -0.005582
0.5250 -0.000907
0.5300 -0.000065
0.5350 -0.000002
0.5400 -0.000000
0.5450 -0.000000
0.5500 -0.000000
0.5550 -0.000000
0.5600 -0.000000
0.5650 -0.000000
0.5700 -0.000000
0.5750 -0.000000
0.5800 -0.000000
0.5850 -0.000000
0.5900 -0.000000
0.5950 -0.000000
0.6000 -0.000000
0.6050 -0.000000
0.6100 -0.000000
0.6150 -0.000000
0.6200 -0.000000
0.6250 -0.000000
0.6300 -0.000000
0.6350 -0.000000
0.6400 -0.000000
0.6450 -0.000000
0.6500 -0.000000
0.6550 -0.000000
0.6600 -0.000000
0.6650 -0.000000
0.6700 -0.000000
0.6750 0.000000
0.6800 0.000000
0.6850 0.000000
0.6900 0.000000
0.6950 0.000000
0.7000 -0.000000
0.7050 -0.000000
0.7100 0.000000
0.7150 0.000000
0.7200 0.000000
0.7250 0.000000
0.7300 0.000000
0.7350 0.000000
0.7400 0.000000
0.7450 -0.000000
0.7500 -0.000000
0.7550 -0.000000
0.7600 -0.000000
0.7650 -0.000000
0.7700 0.000000
0.7750 0.000000
0.7800 0.000000
0.7850 -0.000000
0.7900 -0.000000
0.7950 -0.000000
0.8000 0.000000
0.8050 0.000000
0.8100 0.000000
0.8150 0.000000
0.8200 0.000000
0.8250 0.000000
0.8300 0.000000
0.8350 0.000000
0.8400 0.000000
0.8450 0.000000
0.8500 0.000000
0.8550 0.000000
0.8600 0.000000
0.8650 0.000000
0.8700 0.000000
0.8750 -0.000000
0.8800 -0.000000
0.8850 -0.000000
0.8900 -0.000000
0.8950 -0.000000
0.9000 -0.000000
0.9050 -0.000000
0.9100 -0.000000
0.9150 -0.000000
0.9200 -0.000000
0.9250 0.000000
0.9300 0.000000
0.9350 0.000000
0.9400 0.000000
0.9450 0.000000
0.9500 0.000000
0.9550 0.000000
0.9600 -0.000000
0.9650 -0.000000
0.9700 -0.000000
0.9750 -0.000000
0.9800 0.000000
0.9850 0.000000
0.9900 0.000000
0.9950 0.000000
