# Na -- Cl in DFT (Duignan)
# r0[nm] k[kCal/mol/nm^2]
0.2300 10.182305
0.2400 5.334769
0.2500 2.350223
0.2600 0.797731
0.2700 0.059419
0.2800 -0.105202
0.2900 0.057999
0.3000 0.396862
0.3100 0.859736
0.3200 1.338988
0.3300 1.812097
0.3400 2.239964
0.3500 2.424641
0.3600 2.536369
0.3700 2.540477
0.3800 2.287625
0.3900 1.938966
0.4000 1.523494
0.4100 1.151700
0.4200 0.761324
0.4300 0.421738
0.4400 0.144399
0.4500 -0.060063
0.4600 -0.228227
0.4700 -0.376465
0.4800 -0.476620
0.4900 -0.534468
0.5000 -0.554584
0.5100 -0.534611
0.5200 -0.476601
0.5300 -0.365031
0.5400 -0.220830
0.5500 -0.076532
0.5600 0.082714
0.5700 0.207098
0.5800 0.310372
0.5900 0.368629
0.6000 0.409925
0.6100 0.407855
0.6200 0.393469
0.6300 0.372119
0.6400 0.345413
0.6500 0.343663
0.6600 0.336556
0.6700 0.311133
0.6800 0.321250
0.6900 0.323898
0.7000 0.338413
0.7100 0.371398
0.7200 0.411814
0.7300 0.444862
0.7400 0.491074
0.7500 0.549959
0.7600 0.593748
0.7700 0.625614
0.7800 0.660589
0.7900 0.681123
0.8000 0.694508
0.8100 0.709315
0.8200 0.721857
0.8300 0.712246
0.8400 0.727381
0.8500 0.732023
0.8600 0.723845
0.8700 0.731004
0.8800 0.747766
0.8900 0.768545
0.9000 0.782566
