# Na -- Cl in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2226 9.663020
0.2266 9.310066
0.2306 9.138118
0.2346 8.665723
0.2386 7.894468
0.2426 7.309377
0.2466 4.954213
0.2506 3.229705
0.2546 1.756771
0.2586 0.656382
0.2626 -0.257247
0.2666 -0.966134
0.2706 -1.513658
0.2746 -1.934769
0.2786 -2.255071
0.2826 -2.491605
0.2866 -2.632832
0.2906 -2.750323
0.2946 -2.737708
0.2986 -2.738430
0.3026 -2.769980
0.3066 -2.717291
0.3106 -2.659080
0.3146 -2.624050
0.3186 -2.515376
0.3226 -2.444807
0.3266 -2.362110
0.3306 -2.260852
0.3346 -2.157113
0.3386 -2.102622
0.3426 -2.025669
0.3466 -1.931480
0.3506 -1.878333
0.3546 -1.754356
0.3586 -1.729603
0.3626 -1.621371
0.3666 -1.547597
0.3706 -1.533206
0.3746 -1.438845
0.3786 -1.368090
0.3826 -1.312067
0.3866 -1.235396
0.3906 -1.210055
0.3946 -1.164867
0.3986 -1.132214
0.4026 -1.062441
0.4066 -0.982775
0.4106 -0.921262
0.4146 -0.877849
0.4186 -0.876347
0.4226 -0.836178
0.4266 -0.820881
0.4307 -0.776110
0.4347 -0.739778
0.4387 -0.726281
0.4427 -0.697467
0.4467 -0.709001
0.4507 -0.635033
0.4547 -0.633444
0.4587 -0.600886
0.4627 -0.579614
0.4667 -0.569291
0.4707 -0.553421
0.4747 -0.556867
0.4787 -0.547691
0.4827 -0.501011
0.4867 -0.508272
0.4907 -0.501926
0.4947 -0.465718
0.4987 -0.494115
0.5027 -0.445033
0.5067 -0.473031
0.5107 -0.434031
0.5147 -0.395431
0.5187 -0.357063
0.5227 -0.369341
0.5267 -0.367073
0.5307 -0.387478
0.5347 -0.354251
0.5387 -0.366264
0.5427 -0.347301
0.5467 -0.343745
0.5507 -0.345227
0.5547 -0.299224
0.5587 -0.303350
0.5627 -0.267237
0.5667 -0.313410
0.5707 -0.313141
0.5747 -0.284976
0.5787 -0.291157
0.5827 -0.257838
0.5867 -0.261553
0.5907 -0.280655
0.5947 -0.253341
0.5987 -0.230150
0.6027 -0.252132
0.6067 -0.235162
0.6107 -0.258519
0.6147 -0.241424
0.6187 -0.265291
0.6227 -0.293911
0.6267 -0.248331
0.6307 -0.269709
0.6347 -0.268303
0.6387 -0.233485
0.6427 -0.259544
0.6467 -0.282117
0.6507 -0.227557
0.6547 -0.195992
0.6587 -0.171033
0.6627 -0.163460
0.6667 -0.189515
0.6707 -0.176786
0.6747 -0.218070
0.6787 -0.226543
0.6827 -0.235519
0.6867 -0.190951
0.6907 -0.173549
0.6947 -0.178487
0.6987 -0.195057
0.7027 -0.176967
0.7067 -0.193304
0.7107 -0.176302
0.7147 -0.215911
0.7187 -0.165736
0.7227 -0.185622
0.7267 -0.187686
0.7307 -0.174651
