# Na -- Cl in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2219 7.768588
0.2259 7.840079
0.2299 7.440367
0.2339 7.460939
0.2379 6.060831
0.2419 4.075432
0.2459 2.005734
0.2499 0.437096
0.2539 -0.668252
0.2579 -1.447800
0.2619 -1.938431
0.2660 -2.242614
0.2700 -2.398436
0.2740 -2.408282
0.2780 -2.338772
0.2820 -2.226565
0.2860 -2.041495
0.2900 -1.844167
0.2940 -1.644949
0.2980 -1.434477
0.3020 -1.153526
0.3060 -0.904343
0.3100 -0.668982
0.3140 -0.414318
0.3180 -0.204905
0.3220 -0.006030
0.3260 0.177981
0.3300 0.366232
0.3340 0.520391
0.3380 0.654963
0.3420 0.806639
0.3460 0.962174
0.3500 1.060839
0.3540 1.155492
0.3580 1.221984
0.3620 1.327288
0.3660 1.353986
0.3700 1.368632
0.3740 1.377862
0.3780 1.336972
0.3820 1.280013
0.3860 1.265905
0.3900 1.193100
0.3940 1.124064
0.3980 1.079873
0.4020 1.001324
0.4060 0.886646
0.4100 0.825387
0.4140 0.710088
0.4180 0.655668
0.4220 0.553623
0.4260 0.473019
0.4300 0.354652
0.4340 0.291348
0.4380 0.175891
0.4420 0.102101
0.4460 0.020135
0.4500 -0.054843
0.4540 -0.115781
0.4580 -0.180343
0.4620 -0.202253
0.4661 -0.265904
0.4701 -0.283439
0.4741 -0.323104
0.4781 -0.353818
0.4821 -0.428766
0.4861 -0.423437
0.4901 -0.429532
0.4941 -0.427402
0.4981 -0.461562
0.5021 -0.439262
0.5061 -0.464124
0.5101 -0.471870
0.5141 -0.484565
0.5181 -0.498535
0.5221 -0.504084
0.5261 -0.501372
0.5301 -0.496364
0.5341 -0.475200
0.5381 -0.467224
0.5421 -0.468166
0.5461 -0.374734
0.5501 -0.369582
0.5541 -0.386559
0.5581 -0.353292
0.5621 -0.343050
0.5661 -0.243643
0.5701 -0.196689
0.5741 -0.156208
0.5781 -0.089267
0.5821 -0.053692
0.5861 -0.037826
0.5901 -0.018416
0.5941 -0.004210
0.5981 0.016939
0.6021 0.072649
0.6061 0.081749
0.6101 0.077460
0.6141 0.149999
0.6181 0.161180
0.6221 0.135398
0.6261 0.202144
0.6301 0.176346
0.6341 0.123332
0.6381 0.142086
0.6421 0.134651
0.6461 0.144290
0.6501 0.062746
0.6541 0.063823
0.6581 0.016340
0.6622 0.005789
0.6662 0.003686
0.6702 -0.013552
0.6742 -0.010687
0.6782 -0.008182
0.6822 -0.068464
0.6862 -0.065124
0.6902 -0.065097
0.6942 -0.083452
0.6982 -0.074279
0.7022 -0.074544
0.7062 -0.095354
0.7102 -0.138880
0.7142 -0.136707
0.7182 -0.191672
0.7222 -0.181240
0.7262 -0.163464
0.7302 -0.135728
0.7342 -0.176543
0.7382 -0.132431
0.7422 -0.135181
0.7462 -0.177789
0.7502 -0.149697
0.7542 -0.189690
0.7582 -0.180264
0.7622 -0.194369
0.7662 -0.175630
0.7702 -0.136898
0.7742 -0.128171
0.7782 -0.086109
0.7822 -0.140217
0.7862 -0.094691
0.7902 -0.192252
0.7942 -0.146596
0.7982 -0.177676
0.8022 -0.129144
0.8062 -0.115163
0.8102 -0.043111
0.8142 -0.103166
0.8182 -0.028065
0.8222 -0.006862
0.8262 -0.005099
0.8302 0.009025
0.8342 0.024089
0.8382 -0.001901
0.8422 0.052815
0.8462 0.026266
0.8502 0.052139
0.8542 -0.016019
0.8582 -0.018582
0.8622 -0.009734
0.8663 0.021686
0.8703 -0.007178
0.8743 0.017812
0.8783 0.006339
0.8823 0.001773
0.8863 0.028261
0.8903 0.049341
0.8943 0.072165
0.8983 0.043069
0.9023 0.049697
0.9063 -0.009045
0.9103 0.042717
0.9143 0.035066
0.9183 0.032995
0.9223 0.109800
0.9263 0.090953
0.9303 0.081001
0.9343 0.062559
0.9383 0.125205
0.9423 0.090009
0.9463 0.009250
0.9503 0.062389
0.9543 0.126978
0.9583 0.062055
0.9623 0.102443
0.9663 0.079429
0.9703 0.076088
0.9743 0.060556
0.9783 0.050026
0.9823 0.032909
0.9863 0.014228
0.9903 0.087818
0.9943 0.059349
0.9983 0.000000
1.0023 0.062418
1.0063 0.018161
1.0103 0.012409
1.0143 0.044170
1.0183 0.060962
1.0223 0.033419
1.0263 0.064821
1.0303 0.085533
1.0343 0.084275
1.0383 0.091692
1.0423 0.089002
1.0463 0.030726
1.0503 0.039486
1.0543 0.046080
1.0583 0.058747
1.0623 0.051857
1.0664 0.071075
1.0704 0.083711
1.0744 0.097902
1.0784 0.074273
1.0824 0.057346
1.0864 0.074239
1.0904 0.035898
1.0944 0.053320
1.0984 0.066678
1.1024 0.068784
1.1064 0.063023
1.1104 0.160524
1.1144 0.093344
1.1184 0.108673
1.1224 0.120257
1.1264 0.105778
1.1304 0.161221
1.1344 0.054875
1.1384 0.082973
1.1424 0.140979
1.1464 0.086373
1.1504 0.101614
1.1544 0.099156
1.1584 0.154248
1.1624 0.124612
1.1664 0.113919
1.1704 0.117557
1.1744 0.122343
1.1784 0.068625
1.1824 0.083451
1.1864 0.081501
1.1904 0.139373
1.1944 0.098707
1.1984 0.107448
1.2024 0.076577
1.2064 0.075666
1.2104 0.170702
1.2144 0.080501
1.2184 0.093432
1.2224 0.115196
1.2264 0.137966
1.2304 0.121715
1.2344 0.095470
1.2384 0.131988
1.2424 0.102702
1.2464 0.130564
1.2504 0.088426
1.2544 0.139768
1.2584 0.150235
1.2625 0.123882
1.2665 0.093291
1.2705 0.137228
1.2745 0.080392
1.2785 0.069901
1.2825 0.131073
1.2865 0.102205
1.2905 0.120155
1.2945 0.092220
1.2985 0.077793
1.3025 0.137198
1.3065 0.135029
1.3105 0.138912
1.3145 0.159656
1.3185 0.154744
1.3225 0.219371
1.3265 0.158590
1.3305 0.181064
1.3345 0.141254
1.3385 0.164138
1.3425 0.193004
1.3465 0.188357
1.3505 0.100383
1.3545 0.174462
1.3585 0.165123
1.3625 0.106060
1.3665 0.126999
1.3705 0.157829
1.3745 0.167076
1.3785 0.211473
