# Na -- Cl in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2234 10.446636
0.2274 10.084398
0.2314 9.664526
0.2354 9.189751
0.2394 7.138832
0.2434 5.140472
0.2475 3.318652
0.2515 2.235534
0.2555 1.463393
0.2595 0.933962
0.2635 0.571246
0.2675 0.281484
0.2715 0.114564
0.2755 0.020575
0.2795 0.002135
0.2835 0.033346
0.2875 0.101705
0.2915 0.218690
0.2955 0.327714
0.2995 0.517957
0.3035 0.653218
0.3075 0.836842
0.3115 1.002296
0.3155 1.240954
0.3195 1.445295
0.3235 1.614424
0.3275 1.824971
0.3315 2.025355
0.3355 2.177877
0.3395 2.259959
0.3436 2.392788
0.3476 2.435439
0.3516 2.469793
0.3556 2.520506
0.3596 2.557564
0.3636 2.585581
0.3676 2.565181
0.3716 2.496671
0.3756 2.514660
0.3796 2.326709
0.3836 2.224745
0.3876 2.078783
0.3916 1.947584
0.3956 1.817791
0.3996 1.624979
0.4036 1.456983
0.4076 1.225144
0.4116 1.064024
0.4156 0.939726
0.4196 0.846131
0.4236 0.707979
0.4276 0.578312
0.4316 0.480708
0.4356 0.373056
0.4397 0.268409
0.4437 0.155655
0.4477 0.067366
0.4517 -0.011595
0.4557 -0.128398
0.4597 -0.153681
0.4637 -0.238540
0.4677 -0.276562
0.4717 -0.324226
0.4757 -0.339880
0.4797 -0.355828
0.4837 -0.412427
0.4877 -0.400540
0.4917 -0.422918
0.4957 -0.416566
0.4997 -0.454550
0.5037 -0.423078
0.5077 -0.462585
0.5117 -0.451161
0.5157 -0.467670
0.5197 -0.481757
0.5237 -0.479695
0.5277 -0.470773
0.5317 -0.418800
0.5357 -0.403248
0.5398 -0.446032
0.5438 -0.423836
0.5478 -0.391031
0.5518 -0.353333
0.5558 -0.316631
0.5598 -0.332005
0.5638 -0.279801
0.5678 -0.273976
0.5718 -0.212915
0.5758 -0.146177
0.5798 -0.091973
0.5838 -0.050301
0.5878 -0.025104
0.5918 0.034078
0.5958 0.109921
0.5998 0.136603
0.6038 0.116184
0.6078 0.099730
0.6118 0.122779
0.6158 0.145807
0.6198 0.113905
0.6238 0.153288
0.6278 0.136587
0.6318 0.115205
0.6359 0.080149
0.6399 0.088095
0.6439 0.081534
0.6479 0.096057
0.6519 0.071283
0.6559 0.041645
0.6599 0.013554
0.6639 0.027811
0.6679 -0.026016
0.6719 -0.040641
0.6759 0.007741
0.6799 -0.025319
0.6839 -0.047400
0.6879 -0.041488
0.6919 -0.071147
0.6959 -0.103980
0.6999 -0.107863
0.7039 -0.101153
0.7079 -0.076050
0.7119 -0.124514
0.7159 -0.116618
0.7199 -0.119259
0.7239 -0.136737
0.7279 -0.127700
0.7320 -0.104277
0.7360 -0.129234
0.7400 -0.179924
0.7440 -0.129369
0.7480 -0.141965
0.7520 -0.147983
0.7560 -0.209555
0.7600 -0.186894
0.7640 -0.221916
0.7680 -0.142487
0.7720 -0.123061
0.7760 -0.101706
0.7800 -0.125416
0.7840 -0.117684
0.7880 -0.170102
0.7920 -0.096731
0.7960 -0.218694
0.8000 -0.129815
0.8040 -0.110478
0.8080 -0.122107
0.8120 -0.070302
0.8160 -0.028048
0.8200 -0.033869
0.8240 0.057383
0.8280 0.096665
0.8321 0.043449
0.8361 0.011865
0.8401 0.050235
0.8441 0.050186
0.8481 0.014307
0.8521 0.059764
0.8561 0.062159
0.8601 0.007809
0.8641 0.042045
0.8681 0.006757
0.8721 0.077912
0.8761 0.047539
0.8801 -0.039113
0.8841 0.077632
0.8881 0.038146
0.8921 -0.003380
0.8961 0.014711
0.9001 0.061173
0.9041 0.031245
0.9081 0.001917
0.9121 0.027386
0.9161 0.039457
0.9201 0.026830
0.9241 0.045515
0.9282 0.022003
0.9322 0.071437
0.9362 0.085937
0.9402 0.058305
0.9442 0.116112
0.9482 0.063688
0.9522 0.014423
0.9562 0.075989
0.9602 0.123693
0.9642 0.043192
0.9682 0.051774
0.9722 0.057740
0.9762 0.043230
0.9802 0.058514
0.9842 0.060794
0.9882 0.040348
0.9922 0.063246
0.9962 0.046265
1.0002 0.000000
1.0042 0.025776
1.0082 0.077641
1.0122 0.028432
1.0162 0.018831
1.0202 0.034106
1.0243 0.034534
1.0283 -0.046001
1.0323 0.015406
1.0363 0.029700
1.0403 0.017277
1.0443 0.051183
1.0483 0.001496
1.0523 0.002492
1.0563 0.035009
1.0603 0.046359
1.0643 0.003418
1.0683 0.083462
1.0723 0.044722
1.0763 -0.008618
1.0803 -0.007588
1.0843 0.074705
1.0883 0.045635
1.0923 0.037348
1.0963 0.053380
1.1003 0.063963
1.1043 0.141603
1.1083 0.123159
1.1123 0.088332
1.1163 0.063579
1.1203 0.119455
1.1244 0.102320
1.1284 0.142089
1.1324 0.089616
1.1364 0.104434
1.1404 0.104862
1.1444 0.080578
1.1484 0.115374
1.1524 0.127928
1.1564 0.063378
1.1604 0.114077
1.1644 0.129205
1.1684 0.069200
1.1724 0.156972
1.1764 0.083406
1.1804 0.088845
1.1844 0.159955
1.1884 0.146812
1.1924 0.106973
1.1964 0.076229
1.2004 0.132818
1.2044 0.097758
1.2084 0.113290
1.2124 0.086866
1.2164 0.110477
1.2205 0.103187
1.2245 0.071696
1.2285 0.101512
1.2325 0.060324
1.2365 0.078263
1.2405 0.053004
1.2445 0.062835
1.2485 0.070588
1.2525 0.075111
1.2565 0.088122
1.2605 0.107816
1.2645 0.118513
1.2685 0.075510
1.2725 0.121040
1.2765 0.099346
1.2805 0.067064
1.2845 0.117557
1.2885 0.089953
1.2925 0.095675
1.2965 0.078267
1.3005 0.063786
1.3045 0.098302
1.3085 0.124987
1.3125 0.148922
1.3166 0.174866
1.3206 0.133646
1.3246 0.108873
1.3286 0.107948
1.3326 0.129610
1.3366 0.107912
1.3406 0.107882
1.3446 0.104412
1.3486 0.139582
1.3526 0.122516
1.3566 0.087268
1.3606 0.095012
1.3646 0.115602
1.3686 0.113593
1.3726 0.106712
1.3766 0.144908
1.3806 0.163423
1.3846 0.102214
1.3886 0.091457
1.3926 0.083335
1.3966 0.094857
1.4006 0.064200
1.4046 0.107691
1.4086 0.077435
1.4126 0.131857
1.4167 0.076473
1.4207 0.097633
1.4247 0.106693
1.4287 0.098396
1.4327 0.133273
1.4367 0.102179
1.4407 0.097630
1.4447 0.108117
1.4487 0.136870
1.4527 0.077136
1.4567 0.111509
1.4607 0.145559
1.4647 0.124073
1.4687 0.144080
1.4727 0.125348
1.4767 0.117636
1.4807 0.110997
1.4847 0.133391
1.4887 0.152615
1.4927 0.135249
1.4967 0.117261
1.5007 0.137069
1.5047 0.168862
1.5087 0.107860
1.5128 0.130967
1.5168 0.162137
1.5208 0.161588
1.5248 0.135355
1.5288 0.153466
1.5328 0.155854
1.5368 0.115556
1.5408 0.117879
1.5448 0.153552
1.5488 0.153857
