# Na -- Cl in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2433 2.848716
0.2473 1.228387
0.2513 -0.086482
0.2553 -1.029260
0.2593 -1.668548
0.2633 -2.087169
0.2673 -2.344491
0.2713 -2.441170
0.2753 -2.413645
0.2792 -2.328684
0.2832 -2.209638
0.2872 -2.014978
0.2912 -1.798676
0.2952 -1.571627
0.2992 -1.377366
0.3032 -1.089003
0.3072 -0.851909
0.3112 -0.616777
0.3152 -0.413180
0.3192 -0.147453
0.3232 0.046443
0.3272 0.262718
0.3312 0.385758
0.3352 0.572895
0.3392 0.699588
0.3432 0.842230
0.3472 0.966664
0.3512 1.081683
0.3552 1.125025
0.3592 1.216358
0.3632 1.320972
0.3672 1.340843
0.3712 1.367165
0.3752 1.362006
0.3792 1.349498
0.3832 1.262580
0.3872 1.193793
0.3912 1.156722
0.3952 1.067079
0.3992 1.053314
0.4032 0.918064
0.4072 0.881119
0.4112 0.752503
0.4151 0.691729
0.4191 0.602956
0.4231 0.486766
0.4271 0.414715
0.4311 0.324193
0.4351 0.233268
0.4391 0.126267
0.4431 0.051200
0.4471 -0.043365
0.4511 -0.099611
0.4551 -0.148296
0.4591 -0.242163
0.4631 -0.271803
0.4671 -0.316138
0.4711 -0.325882
0.4751 -0.394504
0.4791 -0.390299
0.4831 -0.459263
0.4871 -0.437536
0.4911 -0.491557
0.4951 -0.467683
0.4991 -0.492349
0.5031 -0.531684
0.5071 -0.491560
0.5111 -0.509821
0.5151 -0.556376
0.5191 -0.554584
0.5231 -0.555038
0.5271 -0.548626
0.5311 -0.532308
0.5351 -0.538239
0.5391 -0.506253
0.5431 -0.498642
0.5470 -0.454113
0.5510 -0.429731
0.5550 -0.385171
0.5590 -0.400172
0.5630 -0.353603
0.5670 -0.276069
0.5710 -0.286371
0.5750 -0.227260
0.5790 -0.168653
0.5830 -0.115144
0.5870 -0.073292
0.5910 -0.029346
0.5950 0.004715
0.5990 0.001481
0.6030 0.047514
0.6070 0.039462
0.6110 0.082254
0.6150 0.057245
0.6190 0.081266
0.6230 0.079304
0.6270 0.045718
0.6310 0.028513
0.6350 0.061036
0.6390 0.058382
0.6430 0.033176
0.6470 0.030391
0.6510 0.013213
0.6550 -0.016540
0.6590 0.001654
0.6630 -0.010291
0.6670 -0.060586
0.6710 -0.040632
0.6750 -0.064917
0.6790 -0.108768
0.6829 -0.121529
0.6869 -0.127385
0.6909 -0.111462
0.6949 -0.156112
0.6989 -0.136218
0.7029 -0.144185
0.7069 -0.181869
0.7109 -0.175583
0.7149 -0.184320
0.7189 -0.196724
0.7229 -0.213197
0.7269 -0.193633
0.7309 -0.200459
0.7349 -0.203365
0.7389 -0.188845
0.7429 -0.170247
0.7469 -0.209210
0.7509 -0.187408
0.7549 -0.158469
0.7589 -0.200836
0.7629 -0.189745
0.7669 -0.158853
0.7709 -0.149164
0.7749 -0.173516
0.7789 -0.167764
0.7829 -0.161773
0.7869 -0.161052
0.7909 -0.162054
0.7949 -0.114752
0.7989 -0.100853
0.8029 -0.066675
0.8069 -0.083289
0.8109 -0.107677
0.8148 -0.090715
0.8188 -0.016311
0.8228 -0.015882
0.8268 -0.087859
0.8308 -0.024560
0.8348 -0.020215
0.8388 -0.001917
0.8428 -0.015326
0.8468 -0.015613
0.8508 -0.055804
0.8548 -0.032396
0.8588 -0.033871
0.8628 -0.035419
0.8668 -0.013293
0.8708 -0.028182
0.8748 -0.056285
0.8788 0.036185
0.8828 0.004232
0.8868 0.003459
0.8908 -0.000022
0.8948 0.015883
0.8988 0.027075
0.9028 0.003649
0.9068 -0.048179
0.9108 -0.000867
0.9148 0.003974
0.9188 -0.019731
0.9228 0.000896
0.9268 0.003661
0.9308 -0.020832
0.9348 0.007391
0.9388 0.040835
0.9428 0.020897
