# Na -- Cl in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2409 5.849460
0.2449 4.059000
0.2489 2.783508
0.2529 1.889154
0.2569 1.280793
0.2609 0.831268
0.2649 0.518624
0.2689 0.283139
0.2729 0.118402
0.2769 0.052242
0.2809 0.076451
0.2849 0.106135
0.2889 0.208383
0.2929 0.335637
0.2969 0.478279
0.3009 0.647634
0.3049 0.810905
0.3089 0.985710
0.3129 1.220613
0.3169 1.367138
0.3209 1.588041
0.3249 1.727493
0.3289 1.945667
0.3329 2.094390
0.3369 2.260848
0.3409 2.372816
0.3449 2.486718
0.3489 2.549849
0.3529 2.620997
0.3570 2.597179
0.3610 2.657646
0.3650 2.638401
0.3690 2.560774
0.3730 2.511868
0.3770 2.472108
0.3810 2.376943
0.3850 2.248939
0.3890 2.113429
0.3930 1.938478
0.3970 1.775158
0.4010 1.581409
0.4050 1.435468
0.4090 1.291906
0.4130 1.159668
0.4170 0.946238
0.4210 0.837856
0.4250 0.643543
0.4290 0.524679
0.4330 0.386677
0.4370 0.297693
0.4410 0.193431
0.4450 0.104653
0.4490 0.010340
0.4530 -0.063256
0.4570 -0.131246
0.4610 -0.215817
0.4650 -0.246033
0.4690 -0.312837
0.4730 -0.370856
0.4770 -0.375772
0.4810 -0.379511
0.4850 -0.457198
0.4890 -0.511910
0.4930 -0.501785
0.4970 -0.520142
0.5010 -0.567842
0.5050 -0.550503
0.5090 -0.550614
0.5130 -0.534465
0.5170 -0.536576
0.5210 -0.546856
0.5250 -0.556654
0.5290 -0.560257
0.5330 -0.519539
0.5370 -0.536199
0.5410 -0.511847
0.5450 -0.508633
0.5490 -0.457506
0.5530 -0.409667
0.5570 -0.381787
0.5610 -0.333793
0.5650 -0.325789
0.5690 -0.237863
0.5730 -0.208560
0.5770 -0.164780
0.5810 -0.108654
0.5850 -0.080942
0.5890 -0.031208
0.5930 0.005041
0.5970 -0.004369
0.6010 0.035602
0.6050 0.011378
0.6090 0.056488
0.6130 0.022234
0.6170 0.049469
0.6210 0.015522
0.6250 0.035773
0.6291 0.002483
0.6331 0.015416
0.6371 -0.013162
0.6411 0.004914
0.6451 -0.014638
0.6491 0.025323
0.6531 0.005977
0.6571 0.007913
0.6611 -0.030785
0.6651 -0.046791
0.6691 -0.056924
0.6731 -0.042175
0.6771 -0.013724
0.6811 -0.050283
0.6851 -0.080503
0.6891 -0.056892
0.6931 -0.098242
0.6971 -0.101645
0.7011 -0.059133
0.7051 -0.142417
0.7091 -0.122701
0.7131 -0.130645
0.7171 -0.102588
0.7211 -0.128723
0.7251 -0.095900
0.7291 -0.078118
0.7331 -0.083563
0.7371 -0.084414
0.7411 -0.128529
0.7451 -0.106474
0.7491 -0.111679
0.7531 -0.120456
0.7571 -0.133135
0.7611 -0.115088
0.7651 -0.113138
0.7691 -0.072127
0.7731 -0.101839
0.7771 -0.083383
0.7811 -0.127071
0.7851 -0.136828
0.7891 -0.137897
0.7931 -0.075773
0.7971 -0.094353
0.8011 -0.089542
0.8051 -0.100777
0.8091 -0.100199
0.8131 -0.106953
0.8171 -0.018119
0.8211 -0.093193
0.8251 -0.016383
0.8291 -0.073274
0.8331 -0.035467
0.8371 -0.026337
0.8411 -0.066826
0.8451 0.006574
0.8491 0.019701
0.8531 -0.025095
0.8571 -0.039230
0.8611 -0.002379
0.8651 -0.053941
0.8691 0.005722
0.8731 -0.009181
0.8771 0.065931
0.8811 -0.013130
0.8851 -0.011010
0.8891 -0.018585
0.8931 0.011280
0.8972 -0.011110
0.9012 0.017649
0.9052 0.065971
0.9092 0.008436
0.9132 0.055720
0.9172 -0.028343
0.9212 -0.012782
0.9252 0.021919
0.9292 -0.001682
0.9332 0.019699
0.9372 -0.022358
0.9412 0.019659
0.9452 0.018562
0.9492 0.050967
0.9532 0.026154
0.9572 0.021244
0.9612 -0.017784
0.9652 0.007057
0.9692 -0.005657
0.9732 -0.002181
0.9772 0.018007
0.9812 0.024083
0.9852 -0.000020
0.9892 0.055847
0.9932 0.001064
0.9972 -0.002850
1.0012 0.000000
1.0052 0.029566
1.0092 -0.010994
1.0132 0.001587
1.0172 -0.049331
1.0212 0.010124
1.0252 -0.010040
1.0292 -0.034298
1.0332 -0.009687
1.0372 0.012352
1.0412 -0.031323
1.0452 0.038777
1.0492 -0.072618
1.0532 -0.066972
1.0572 -0.083749
1.0612 -0.101015
1.0652 -0.024609
1.0692 -0.081299
1.0732 -0.098723
1.0772 -0.029998
1.0812 -0.075528
1.0852 -0.088028
1.0892 -0.059927
1.0932 -0.083777
1.0972 -0.079360
1.1012 -0.102744
1.1052 -0.070182
1.1092 -0.079426
1.1132 -0.054626
1.1172 -0.063722
1.1212 -0.069172
1.1252 -0.025735
1.1292 -0.031681
1.1332 -0.072755
