# Na -- Na (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2047 3.290003
0.2097 3.392288
0.2147 2.976892
0.2197 2.274244
0.2247 1.659084
0.2297 1.129697
0.2347 0.659228
0.2397 0.246412
0.2447 -0.103205
0.2497 -0.384988
0.2547 -0.625839
0.2597 -0.859262
0.2647 -1.096242
0.2697 -1.325978
0.2747 -1.538061
0.2797 -1.733595
0.2847 -1.917954
0.2897 -2.094771
0.2947 -2.251862
0.2997 -2.378813
0.3047 -2.482710
0.3097 -2.574340
0.3147 -2.632621
0.3197 -2.643009
0.3247 -2.619312
0.3297 -2.578901
0.3347 -2.530474
0.3397 -2.473143
0.3447 -2.404981
0.3497 -2.314441
0.3547 -2.208832
0.3597 -2.110900
0.3647 -2.018209
0.3697 -1.912723
0.3747 -1.790625
0.3797 -1.652592
0.3847 -1.503805
0.3897 -1.367480
0.3947 -1.250628
0.3997 -1.137473
0.4047 -1.027512
0.4097 -0.929542
0.4147 -0.836580
0.4197 -0.745347
0.4247 -0.658294
0.4297 -0.567419
0.4347 -0.487292
0.4397 -0.412010
0.4447 -0.334962
0.4497 -0.256701
0.4547 -0.164995
0.4597 -0.079169
0.4647 -0.012574
0.4697 0.050204
0.4747 0.103606
0.4797 0.137713
0.4847 0.148996
0.4897 0.137761
0.4947 0.118567
0.4997 0.105997
0.5047 0.095965
0.5097 0.083751
0.5147 0.078732
0.5197 0.079260
0.5247 0.073061
0.5297 0.045056
0.5347 0.004142
0.5397 -0.042911
0.5447 -0.080255
0.5497 -0.103106
0.5547 -0.125096
0.5597 -0.147752
0.5647 -0.162224
0.5697 -0.171414
0.5747 -0.182420
0.5797 -0.197635
0.5847 -0.219708
0.5897 -0.244446
0.5947 -0.258920
0.5997 -0.262381
0.6047 -0.266764
0.6097 -0.267281
0.6147 -0.262002
0.6197 -0.251573
0.6247 -0.232674
0.6297 -0.213604
0.6347 -0.194815
0.6397 -0.179694
0.6447 -0.168699
0.6497 -0.159982
0.6547 -0.147431
0.6597 -0.133204
0.6647 -0.118605
0.6697 -0.104080
0.6747 -0.093507
0.6797 -0.086881
0.6847 -0.071034
0.6897 -0.037088
0.6947 -0.001633
0.6997 0.026400
0.7047 0.036123
0.7097 0.024910
0.7147 0.022965
0.7197 0.040653
0.7247 0.064867
0.7297 0.071871
0.7347 0.076928
0.7397 0.085263
0.7447 0.088582
0.7497 0.094053
0.7547 0.106216
0.7597 0.106948
0.7647 0.096466
0.7697 0.082999
0.7747 0.073667
0.7797 0.065058
0.7847 0.047665
0.7897 0.024173
0.7947 0.003738
0.7997 0.008187
0.8047 0.028670
0.8097 0.031339
0.8147 0.013338
0.8197 0.005567
0.8247 0.004170
0.8297 -0.003627
0.8347 -0.010944
0.8397 -0.014411
0.8447 0.000833
0.8497 0.022558
0.8547 0.034100
0.8597 0.043125
0.8647 0.035308
0.8697 0.009780
0.8747 -0.002816
0.8797 0.001142
0.8847 -0.008658
0.8897 -0.029151
0.8947 -0.033807
0.8997 -0.018065
0.9047 -0.000200
0.9097 0.002181
0.9147 -0.001719
0.9197 -0.015243
0.9247 -0.036035
0.9297 -0.032757
0.9347 -0.006228
0.9397 0.010964
0.9447 0.011715
0.9497 0.009087
0.9547 0.008396
0.9597 0.005069
0.9647 0.004669
0.9697 0.009391
0.9747 0.008211
0.9797 -0.002409
0.9847 -0.012691
0.9897 -0.014680
0.9947 -0.006781
0.9997 0.001167
