# Na -- Na (Amber03) Difference Data: DFT (Duignan) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2047 -18.061404
0.2097 -17.596776
0.2147 -16.853627
0.2197 -15.965469
0.2247 -15.122127
0.2297 -14.427970
0.2347 -13.835743
0.2397 -13.188343
0.2447 -12.338514
0.2497 -11.338796
0.2547 -10.312998
0.2597 -9.387078
0.2647 -8.640804
0.2697 -8.052276
0.2747 -7.574915
0.2797 -7.161615
0.2847 -6.787666
0.2897 -6.460947
0.2947 -6.181117
0.2997 -5.947256
0.3047 -5.762964
0.3097 -5.612496
0.3147 -5.460011
0.3197 -5.290495
0.3247 -5.114392
0.3297 -4.955617
0.3347 -4.824590
0.3397 -4.716320
0.3447 -4.626298
0.3497 -4.537450
0.3547 -4.445498
0.3597 -4.354709
0.3647 -4.244870
0.3697 -4.097867
0.3747 -3.910522
0.3797 -3.689424
0.3847 -3.449870
0.3897 -3.214714
0.3947 -2.986146
0.3997 -2.764980
0.4047 -2.570038
0.4097 -2.407651
0.4147 -2.268684
0.4197 -2.137344
0.4247 -2.007937
0.4297 -1.880326
0.4347 -1.764076
0.4397 -1.651443
0.4447 -1.536776
0.4497 -1.412469
0.4547 -1.269965
0.4597 -1.120550
0.4647 -0.967361
0.4697 -0.808625
0.4747 -0.648852
0.4797 -0.489406
0.4847 -0.346021
0.4897 -0.232043
0.4947 -0.145067
0.4997 -0.067054
0.5047 0.008138
0.5097 0.065773
0.5147 0.093531
0.5197 0.098855
0.5247 0.085729
0.5297 0.050632
0.5347 0.006995
0.5397 -0.036950
0.5447 -0.075205
0.5497 -0.111946
0.5547 -0.154150
0.5597 -0.194178
0.5647 -0.221990
0.5697 -0.238649
0.5747 -0.246492
0.5797 -0.251658
0.5847 -0.262567
0.5897 -0.274842
0.5947 -0.279222
0.5997 -0.272555
0.6047 -0.256245
0.6097 -0.235331
0.6147 -0.217717
0.6197 -0.210682
0.6247 -0.212904
0.6297 -0.209546
0.6347 -0.194492
0.6397 -0.179685
0.6447 -0.168699
0.6497 -0.159982
0.6547 -0.147431
0.6597 -0.133204
0.6647 -0.118605
0.6697 -0.104080
0.6747 -0.093507
0.6797 -0.086881
0.6847 -0.071034
0.6897 -0.037088
0.6947 -0.001633
0.6997 0.026400
0.7047 0.036123
0.7097 0.024910
0.7147 0.022965
0.7197 0.040653
0.7247 0.064867
0.7297 0.071871
0.7347 0.076928
0.7397 0.085263
0.7447 0.088582
0.7497 0.094053
0.7547 0.106216
0.7597 0.106948
0.7647 0.096466
0.7697 0.082999
0.7747 0.073667
0.7797 0.065058
0.7847 0.047665
0.7897 0.024173
0.7947 0.003738
0.7997 0.008187
0.8047 0.028670
0.8097 0.031339
0.8147 0.013338
0.8197 0.005567
0.8247 0.004170
0.8297 -0.003627
0.8347 -0.010944
0.8397 -0.014411
0.8447 0.000833
0.8497 0.022558
0.8547 0.034100
0.8597 0.043125
0.8647 0.035308
0.8697 0.009780
0.8747 -0.002816
0.8797 0.001142
0.8847 -0.008658
0.8897 -0.029151
0.8947 -0.033807
0.8997 -0.018065
0.9047 -0.000200
0.9097 0.002181
0.9147 -0.001719
0.9197 -0.015243
0.9247 -0.036035
0.9297 -0.032757
0.9347 -0.006228
0.9397 0.010964
0.9447 0.011715
0.9497 0.009087
0.9547 0.008396
0.9597 0.005069
0.9647 0.004669
0.9697 0.009391
0.9747 0.008211
0.9797 -0.002409
0.9847 -0.012691
0.9897 -0.014680
0.9947 -0.006781
0.9997 0.001167
