# Na -- Na (Amber03) Difference Data: DFT (Duignan) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2047 -21.351407
0.2097 -20.989065
0.2147 -19.830519
0.2197 -18.239714
0.2247 -16.781211
0.2297 -15.557666
0.2347 -14.494972
0.2397 -13.434755
0.2447 -12.235309
0.2497 -10.953807
0.2547 -9.687158
0.2597 -8.527816
0.2647 -7.544562
0.2697 -6.726298
0.2747 -6.036855
0.2797 -5.428020
0.2847 -4.869711
0.2897 -4.366175
0.2947 -3.929254
0.2997 -3.568443
0.3047 -3.280254
0.3097 -3.038156
0.3147 -2.827390
0.3197 -2.647486
0.3247 -2.495080
0.3297 -2.376716
0.3347 -2.294117
0.3397 -2.243177
0.3447 -2.221317
0.3497 -2.223010
0.3547 -2.236666
0.3597 -2.243809
0.3647 -2.226660
0.3697 -2.185144
0.3747 -2.119897
0.3797 -2.036832
0.3847 -1.946064
0.3897 -1.847235
0.3947 -1.735518
0.3997 -1.627507
0.4047 -1.542525
0.4097 -1.478110
0.4147 -1.432104
0.4197 -1.391997
0.4247 -1.349642
0.4297 -1.312907
0.4347 -1.276784
0.4397 -1.239432
0.4447 -1.201814
0.4497 -1.155768
0.4547 -1.104970
0.4597 -1.041381
0.4647 -0.954787
0.4697 -0.858829
0.4747 -0.752458
0.4797 -0.627119
0.4847 -0.495018
0.4897 -0.369804
0.4947 -0.263634
0.4997 -0.173051
0.5047 -0.087828
0.5097 -0.017978
0.5147 0.014800
0.5197 0.019595
0.5247 0.012668
0.5297 0.005575
0.5347 0.002853
0.5397 0.005961
0.5447 0.005050
0.5497 -0.008840
0.5547 -0.029054
0.5597 -0.046426
0.5647 -0.059766
0.5697 -0.067235
0.5747 -0.064071
0.5797 -0.054023
0.5847 -0.042867
0.5897 -0.030681
0.5947 -0.024009
0.5997 -0.029805
0.6047 -0.037696
0.6097 -0.036101
0.6147 -0.025615
0.6197 -0.012914
0.6247 -0.004080
0.6297 -0.000671
0.6347 -0.000049
0.6397 -0.000001
0.6447 0.000000
0.6497 -0.000000
0.6547 -0.000000
0.6597 -0.000000
0.6647 -0.000000
0.6697 -0.000000
0.6747 -0.000000
0.6797 -0.000000
0.6847 -0.000000
0.6897 -0.000000
0.6947 -0.000000
0.6997 -0.000000
0.7047 -0.000000
0.7097 -0.000000
0.7147 -0.000000
0.7197 0.000000
0.7247 0.000000
0.7297 0.000000
0.7347 -0.000000
0.7397 -0.000000
0.7447 -0.000000
0.7497 0.000000
0.7547 0.000000
0.7597 -0.000000
0.7647 -0.000000
0.7697 -0.000000
0.7747 -0.000000
0.7797 -0.000000
0.7847 0.000000
0.7897 0.000000
0.7947 0.000000
0.7997 0.000000
0.8047 -0.000000
0.8097 -0.000000
0.8147 -0.000000
0.8197 -0.000000
0.8247 0.000000
0.8297 0.000000
0.8347 0.000000
0.8397 -0.000000
0.8447 -0.000000
0.8497 -0.000000
0.8547 0.000000
0.8597 0.000000
0.8647 0.000000
0.8697 0.000000
0.8747 -0.000000
0.8797 -0.000000
0.8847 -0.000000
0.8897 -0.000000
0.8947 -0.000000
0.8997 -0.000000
0.9047 -0.000000
0.9097 0.000000
0.9147 0.000000
0.9197 0.000000
0.9247 -0.000000
0.9297 -0.000000
0.9347 -0.000000
0.9397 -0.000000
0.9447 -0.000000
0.9497 0.000000
0.9547 -0.000000
0.9597 -0.000000
0.9647 -0.000000
0.9697 0.000000
0.9747 0.000000
0.9797 0.000000
0.9847 0.000000
0.9897 0.000000
0.9947 0.000000
0.9997 0.000000
