# Na -- Na in DFT (Duignan)
# r0[nm] k[kCal/mol/nm^2]
0.2300 5.834681
0.2400 3.754657
0.2500 3.194714
0.2600 3.023390
0.2700 2.448131
0.2800 1.721587
0.2900 1.173719
0.3000 0.618720
0.3100 0.017655
0.3200 -0.395528
0.3300 -0.682313
0.3400 -0.967401
0.3500 -1.272884
0.3600 -1.485674
0.3700 -1.548592
0.3800 -1.435620
0.3900 -1.192651
0.4000 -0.945448
0.4100 -0.753295
0.4200 -0.636884
0.4300 -0.498398
0.4400 -0.399168
0.4500 -0.282971
0.4600 -0.119001
0.4700 0.105381
0.4800 0.353124
0.4900 0.609112
0.5000 0.743097
0.5100 0.780202
0.5200 0.734189
0.5300 0.618429
0.5400 0.522336
0.5500 0.411499
0.5600 0.317467
0.5700 0.219453
0.5800 0.170541
0.5900 0.137934
0.6000 0.116432
0.6100 0.109500
0.6200 0.125261
0.6300 0.128429
0.6400 0.192741
0.6500 0.217154
0.6600 0.278939
0.6700 0.333688
0.6800 0.391297
0.6900 0.431829
0.7000 0.460116
0.7100 0.468377
0.7200 0.461027
0.7300 0.469510
0.7400 0.431453
0.7500 0.401551
0.7600 0.402425
0.7700 0.371032
0.7800 0.378682
0.7900 0.372569
0.8000 0.388355
0.8100 0.369321
0.8200 0.380617
0.8300 0.398796
0.8400 0.429345
0.8500 0.470657
0.8600 0.474171
0.8700 0.480523
0.8800 0.484332
0.8900 0.540992
0.9000 0.559341
