# Na -- Na in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2050 29.352459
0.2090 27.835015
0.2130 26.950004
0.2170 24.832548
0.2210 23.372994
0.2250 21.858961
0.2290 20.490619
0.2330 19.189854
0.2370 17.987327
0.2410 16.839825
0.2450 15.795701
0.2490 14.756809
0.2530 13.777600
0.2570 12.842644
0.2610 12.022405
0.2650 11.281233
0.2690 10.566749
0.2730 9.929599
0.2770 9.290962
0.2810 8.718300
0.2850 8.177595
0.2890 7.717143
0.2930 7.261529
0.2970 6.819494
0.3010 6.435972
0.3050 6.042268
0.3090 5.715625
0.3130 5.429365
0.3170 5.109647
0.3210 4.829793
0.3250 4.553216
0.3290 4.297049
0.3330 4.098387
0.3370 3.889567
0.3410 3.665489
0.3450 3.511703
0.3490 3.322326
0.3530 3.115279
0.3570 2.977094
0.3610 2.857440
0.3650 2.739285
0.3690 2.597437
0.3729 2.492743
0.3769 2.345322
0.3809 2.237799
0.3849 2.107696
0.3889 2.021689
0.3929 1.966272
0.3969 1.863079
0.4009 1.751887
0.4049 1.703452
0.4089 1.624552
0.4129 1.625317
0.4169 1.530193
0.4209 1.460056
0.4249 1.455878
0.4289 1.348914
0.4329 1.357733
0.4369 1.282188
0.4409 1.231197
0.4449 1.189833
0.4489 1.166083
0.4529 1.083885
0.4569 1.028535
0.4609 0.983952
0.4649 0.965413
0.4689 0.890672
0.4729 0.913985
0.4769 0.853826
0.4809 0.802987
0.4849 0.809578
0.4889 0.803834
0.4929 0.834094
0.4969 0.803686
0.5009 0.810704
0.5049 0.741628
0.5089 0.696219
0.5129 0.671427
0.5169 0.631900
0.5209 0.642170
0.5249 0.560497
0.5289 0.587371
0.5329 0.564173
0.5369 0.544659
0.5409 0.585221
0.5449 0.543482
0.5489 0.524121
0.5529 0.502900
0.5569 0.541043
0.5609 0.521051
0.5649 0.494246
0.5689 0.470928
0.5729 0.450811
0.5769 0.443507
0.5809 0.402939
0.5849 0.417820
0.5889 0.418691
0.5929 0.423325
0.5969 0.400266
0.6009 0.393329
0.6049 0.382188
0.6089 0.401990
0.6129 0.368750
0.6168 0.363729
0.6208 0.403492
0.6248 0.342154
0.6288 0.312562
0.6328 0.340200
0.6368 0.307997
0.6408 0.312776
0.6448 0.295012
0.6488 0.302935
0.6528 0.297005
0.6568 0.289295
0.6608 0.272600
0.6648 0.306944
0.6688 0.294000
0.6728 0.297313
0.6768 0.324670
0.6808 0.278847
0.6848 0.316799
0.6888 0.254079
0.6928 0.256652
0.6968 0.250618
0.7008 0.243985
0.7048 0.244963
0.7088 0.272322
0.7128 0.254026
0.7168 0.252247
0.7208 0.295852
0.7248 0.214132
0.7288 0.248793
0.7328 0.250928
0.7368 0.201725
0.7408 0.195477
0.7448 0.192208
0.7488 0.214223
0.7528 0.137171
0.7568 0.136567
0.7608 0.151970
0.7648 0.168514
0.7688 0.125493
0.7728 0.152845
0.7768 0.156857
0.7808 0.154863
0.7848 0.233413
0.7888 0.158593
0.7928 0.197865
0.7968 0.207185
0.8008 0.209406
0.8048 0.141138
0.8088 0.113864
0.8128 0.158893
0.8168 0.159382
0.8208 0.118436
0.8248 0.130959
0.8288 0.163524
0.8328 0.111990
0.8368 0.157409
0.8408 0.182974
0.8448 0.125236
0.8488 0.136957
0.8528 0.143667
0.8567 0.109226
0.8607 0.064240
0.8647 0.097049
0.8687 0.110507
0.8727 0.161123
0.8767 0.096459
0.8807 0.073811
0.8847 0.077444
0.8887 0.138260
0.8927 0.110952
0.8967 0.094133
0.9007 0.090837
0.9047 0.041536
0.9087 0.054447
0.9127 0.079763
0.9167 0.021094
0.9207 0.078987
0.9247 0.109465
0.9287 0.124423
0.9327 0.049342
0.9367 0.040333
0.9407 0.048979
0.9447 0.062942
0.9487 0.039017
0.9527 0.035523
0.9567 0.021706
0.9607 0.055960
0.9647 0.039121
0.9687 0.031883
0.9727 -0.002735
0.9767 0.018771
0.9807 0.045136
0.9847 0.013483
0.9887 0.065126
0.9927 0.010209
0.9967 0.008630
1.0007 0.000000
1.0047 0.040848
1.0087 0.057504
1.0127 0.021906
1.0167 -0.000422
1.0207 -0.016356
1.0247 0.002407
1.0287 0.019570
1.0327 0.024912
1.0367 -0.027894
1.0407 0.003285
1.0447 0.051520
1.0487 0.036680
1.0527 -0.013451
1.0567 -0.008732
1.0607 0.054797
1.0647 -0.001145
1.0687 -0.035427
1.0727 -0.025568
1.0767 -0.063277
1.0807 -0.069735
1.0847 -0.052496
1.0887 -0.052288
1.0927 -0.080562
1.0966 -0.018995
1.1006 -0.062609
1.1046 -0.031704
1.1086 -0.048401
1.1126 -0.089677
1.1166 -0.060421
1.1206 -0.078493
1.1246 -0.067538
1.1286 -0.040529
1.1326 -0.059310
1.1366 -0.091255
1.1406 -0.074117
1.1446 -0.042601
1.1486 -0.067659
1.1526 -0.052605
1.1566 -0.065293
1.1606 -0.129507
1.1646 -0.098327
1.1686 -0.072636
1.1726 -0.071332
1.1766 -0.036737
1.1806 -0.085031
1.1846 -0.025505
1.1886 -0.070878
1.1926 -0.117533
1.1966 -0.036187
1.2006 -0.078855
1.2046 -0.083551
1.2086 -0.089651
1.2126 -0.053733
1.2166 -0.040106
1.2206 -0.095272
1.2246 -0.059045
1.2286 -0.141259
1.2326 -0.119890
1.2366 -0.063879
1.2406 -0.084100
1.2446 -0.103782
1.2486 -0.113850
1.2526 -0.144780
1.2566 -0.078781
1.2606 -0.149168
1.2646 -0.053343
1.2686 -0.084340
1.2726 -0.096272
1.2766 -0.041904
1.2806 -0.109545
1.2846 -0.079273
1.2886 -0.087416
1.2926 -0.100378
1.2966 -0.085903
1.3006 -0.045498
1.3046 -0.103265
1.3086 -0.098037
1.3126 -0.126647
1.3166 -0.063830
1.3206 -0.071054
1.3246 -0.174378
1.3286 -0.090844
1.3326 -0.123095
1.3366 -0.067535
1.3405 -0.088705
1.3445 -0.150315
1.3485 -0.082824
1.3525 -0.168892
1.3565 -0.108012
1.3605 -0.114333
1.3645 -0.113589
1.3685 -0.130429
1.3725 -0.110933
1.3765 -0.149309
1.3805 -0.121900
1.3845 -0.092917
1.3885 -0.103505
1.3925 -0.116209
1.3965 -0.089342
1.4005 -0.122850
1.4045 -0.111286
1.4085 -0.080008
1.4125 -0.090632
1.4165 -0.131902
1.4205 -0.098160
1.4245 -0.072508
1.4285 -0.131332
1.4325 -0.146736
1.4365 -0.079368
1.4405 -0.142811
1.4445 -0.075392
1.4485 -0.061521
1.4525 -0.140872
1.4565 -0.148558
1.4605 -0.138908
1.4645 -0.105884
1.4685 -0.142229
1.4725 -0.115138
1.4765 -0.138302
1.4805 -0.158582
1.4845 -0.138405
1.4885 -0.110106
1.4925 -0.152051
1.4965 -0.150624
1.5005 -0.141858
1.5045 -0.171490
1.5085 -0.119253
1.5125 -0.147309
1.5165 -0.186598
1.5205 -0.147375
1.5245 -0.086999
1.5285 -0.144180
1.5325 -0.169313
1.5365 -0.190018
1.5405 -0.193269
1.5445 -0.136350
1.5485 -0.181859
