# Na -- Na in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2014 30.089520
0.2054 29.037915
0.2094 28.749851
0.2134 27.576347
0.2174 26.755034
0.2214 25.633362
0.2254 23.268918
0.2294 21.479069
0.2334 19.841656
0.2374 18.280981
0.2414 16.872211
0.2454 15.549454
0.2494 14.309734
0.2534 13.153708
0.2574 12.091712
0.2614 11.054479
0.2654 10.095456
0.2694 9.226752
0.2734 8.415525
0.2774 7.648313
0.2814 6.933280
0.2854 6.243185
0.2894 5.631382
0.2934 5.071505
0.2974 4.529170
0.3014 4.033519
0.3054 3.614137
0.3094 3.171239
0.3134 2.838149
0.3174 2.528639
0.3214 2.251784
0.3254 1.990925
0.3294 1.800499
0.3334 1.600211
0.3374 1.421961
0.3414 1.278079
0.3454 1.134087
0.3494 1.045473
0.3534 0.974994
0.3574 0.912793
0.3614 0.804163
0.3654 0.774759
0.3694 0.693666
0.3734 0.681751
0.3774 0.694928
0.3814 0.709784
0.3854 0.682139
0.3894 0.751600
0.3934 0.732593
0.3974 0.697433
0.4014 0.742742
0.4054 0.734962
0.4094 0.787676
0.4134 0.746343
0.4174 0.796607
0.4214 0.778305
0.4254 0.825649
0.4294 0.847676
0.4334 0.867570
0.4374 0.882857
0.4414 0.870020
0.4454 0.913687
0.4494 0.899285
0.4534 0.976159
0.4574 0.975212
0.4614 1.011225
0.4654 1.030355
0.4694 1.058512
0.4734 1.035228
0.4774 1.061061
0.4814 1.027927
0.4854 1.093912
0.4894 1.015955
0.4934 0.964519
0.4974 0.916446
0.5014 0.883435
0.5054 0.874203
0.5094 0.830335
0.5134 0.846584
0.5174 0.826599
0.5214 0.794893
0.5254 0.765614
0.5294 0.722795
0.5334 0.692903
0.5374 0.593564
0.5414 0.574823
0.5454 0.558096
0.5494 0.516611
0.5534 0.456308
0.5574 0.381098
0.5614 0.370152
0.5654 0.348327
0.5694 0.365166
0.5734 0.335595
0.5774 0.292381
0.5814 0.289183
0.5854 0.280479
0.5894 0.259180
0.5934 0.250918
0.5974 0.238042
0.6014 0.198910
0.6055 0.187673
0.6095 0.173573
0.6135 0.162826
0.6175 0.167662
0.6215 0.124897
0.6255 0.145208
0.6295 0.161454
0.6335 0.188874
0.6375 0.173169
0.6415 0.217081
0.6455 0.244470
0.6495 0.233417
0.6535 0.263776
0.6575 0.251396
0.6615 0.262517
0.6655 0.279951
0.6695 0.287648
0.6735 0.277390
0.6775 0.276953
0.6815 0.286461
0.6855 0.295200
0.6895 0.290926
0.6935 0.291067
0.6975 0.301655
0.7015 0.297825
0.7055 0.317365
0.7095 0.343372
0.7135 0.331612
0.7175 0.321173
0.7215 0.378904
0.7255 0.382006
0.7295 0.359939
0.7335 0.334931
0.7375 0.295605
0.7415 0.359831
0.7455 0.302979
0.7495 0.320141
0.7535 0.365759
0.7575 0.338171
0.7615 0.391369
0.7655 0.344793
0.7695 0.321673
0.7735 0.283715
0.7775 0.306464
0.7815 0.279423
0.7855 0.242474
0.7895 0.221476
0.7935 0.216136
0.7975 0.192308
0.8015 0.207600
0.8055 0.201724
0.8095 0.245386
0.8135 0.202811
0.8175 0.225012
0.8215 0.170207
0.8255 0.172152
0.8295 0.169649
0.8335 0.213782
0.8375 0.180633
0.8415 0.205994
0.8455 0.167757
0.8495 0.253168
0.8535 0.182699
0.8575 0.218070
0.8615 0.184356
0.8655 0.217923
0.8695 0.195160
0.8735 0.135519
0.8775 0.195110
0.8815 0.137925
0.8855 0.155962
0.8895 0.126736
0.8935 0.144328
0.8975 0.139676
0.9015 0.095914
0.9055 0.140634
0.9095 0.108278
0.9135 0.160375
0.9175 0.050079
0.9215 0.073759
0.9255 0.084910
0.9295 0.061286
0.9335 0.066810
0.9375 0.119909
0.9415 0.109708
0.9455 0.118154
0.9495 0.101143
0.9535 0.104953
0.9575 0.135216
0.9615 0.121259
0.9655 0.160409
0.9695 0.076569
0.9735 0.027017
0.9775 0.059092
0.9815 0.075380
0.9855 0.075585
0.9895 0.007878
0.9935 0.031705
0.9975 0.016119
1.0015 0.000000
1.0055 0.069387
1.0095 0.049838
1.0135 0.043672
1.0175 0.018779
1.0215 0.045061
1.0255 0.072830
1.0295 0.076024
1.0335 0.081674
1.0375 0.090896
1.0415 0.108815
1.0455 0.071519
1.0495 0.103173
1.0535 0.108887
1.0575 0.069674
1.0615 0.052389
1.0655 0.076863
1.0695 -0.003386
1.0735 0.121424
1.0775 0.075196
1.0815 0.084172
1.0855 0.030895
1.0895 0.074378
1.0935 0.031622
1.0975 -0.004105
1.1016 0.016653
1.1056 0.059725
1.1096 0.052860
1.1136 0.066494
1.1176 0.079133
1.1216 0.063154
1.1256 0.035495
1.1296 0.040883
1.1336 0.063191
1.1376 0.042059
1.1416 0.021620
1.1456 0.029323
1.1496 0.084242
1.1536 0.089098
1.1576 0.004746
1.1616 0.030420
1.1656 0.039882
1.1696 0.025041
1.1736 0.052454
1.1776 0.040709
1.1816 0.010101
1.1856 0.018060
1.1896 0.072030
1.1936 -0.027231
1.1976 -0.032816
1.2016 -0.021554
1.2056 -0.015788
1.2096 -0.042842
1.2136 -0.037127
1.2176 0.014970
1.2216 -0.027917
1.2256 -0.023199
1.2296 0.024234
1.2336 0.005337
1.2376 -0.012860
1.2416 0.000029
1.2456 -0.008538
1.2496 -0.022759
1.2536 -0.033090
1.2576 0.007254
1.2616 0.000606
1.2656 -0.083551
1.2696 -0.004354
1.2736 -0.036489
1.2776 0.000850
1.2816 0.014238
1.2856 -0.021217
1.2896 -0.051401
1.2936 0.012680
1.2976 0.022297
1.3016 0.014955
1.3056 0.092181
1.3096 0.019786
1.3136 0.039218
1.3176 0.012809
1.3216 0.022452
1.3256 0.062127
1.3296 0.066259
1.3336 0.010848
1.3376 -0.031377
1.3416 0.033217
1.3456 0.009437
1.3496 -0.006470
1.3536 -0.023201
1.3576 0.002102
1.3616 -0.002192
1.3656 -0.007862
1.3696 -0.063533
1.3736 -0.033377
1.3776 -0.020392
1.3816 -0.040861
