# Na -- Na in GB**
# r0[nm] k[kCal/mol/nm^2]
0.1875 16.746797
0.1915 16.323630
0.1955 15.428014
0.1995 15.710435
0.2035 13.684594
0.2075 11.881295
0.2115 10.170192
0.2155 8.902646
0.2195 7.921013
0.2235 7.017571
0.2275 6.163409
0.2315 5.338115
0.2355 4.571342
0.2395 3.887886
0.2435 3.470604
0.2475 3.156945
0.2515 3.028327
0.2555 2.923584
0.2595 2.800831
0.2635 2.614813
0.2675 2.387488
0.2715 2.180683
0.2755 1.914454
0.2795 1.669110
0.2835 1.442164
0.2875 1.228639
0.2915 0.988337
0.2955 0.793092
0.2995 0.541092
0.3035 0.345877
0.3075 0.103335
0.3115 -0.144708
0.3155 -0.295870
0.3195 -0.456299
0.3235 -0.555860
0.3275 -0.675236
0.3315 -0.791881
0.3355 -0.899082
0.3395 -0.996166
0.3435 -1.085909
0.3475 -1.231897
0.3515 -1.303625
0.3555 -1.358136
0.3595 -1.501992
0.3635 -1.515939
0.3675 -1.558927
0.3715 -1.562874
0.3755 -1.568947
0.3795 -1.489824
0.3836 -1.407685
0.3876 -1.286942
0.3916 -1.182434
0.3956 -1.076777
0.3996 -0.991878
0.4036 -0.942855
0.4076 -0.835356
0.4116 -0.773654
0.4156 -0.767659
0.4196 -0.695388
0.4236 -0.668635
0.4276 -0.600734
0.4316 -0.554434
0.4356 -0.495652
0.4396 -0.495857
0.4436 -0.424830
0.4476 -0.380141
0.4516 -0.280623
0.4556 -0.209849
0.4596 -0.166551
0.4636 -0.057678
0.4676 0.036264
0.4716 0.139197
0.4756 0.219934
0.4796 0.310004
0.4836 0.393705
0.4876 0.511860
0.4916 0.505510
0.4956 0.554515
0.4996 0.612607
0.5036 0.639728
0.5076 0.626119
0.5116 0.727541
0.5156 0.747536
0.5196 0.655301
0.5236 0.674204
0.5276 0.639898
0.5316 0.586439
0.5356 0.524216
0.5396 0.467690
0.5436 0.433134
0.5476 0.387439
0.5516 0.361550
0.5556 0.305563
0.5596 0.219760
0.5636 0.237031
0.5676 0.204900
0.5716 0.167291
0.5756 0.152496
0.5796 0.161841
0.5836 0.148970
0.5876 0.119804
0.5917 0.080637
