# Na -- Na in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2047 32.373243
0.2087 32.396335
0.2127 30.323290
0.2167 27.640645
0.2207 25.435524
0.2247 23.619378
0.2287 21.752181
0.2328 20.070779
0.2368 18.529382
0.2408 17.040564
0.2448 15.704231
0.2488 14.453881
0.2528 13.293012
0.2568 12.177365
0.2608 11.164091
0.2648 10.217471
0.2688 9.297379
0.2728 8.493450
0.2768 7.702407
0.2808 6.950770
0.2848 6.290999
0.2888 5.654975
0.2928 5.068634
0.2968 4.517501
0.3008 4.016314
0.3048 3.589430
0.3088 3.146944
0.3128 2.770988
0.3168 2.461940
0.3208 2.184315
0.3248 1.931705
0.3288 1.728866
0.3328 1.533846
0.3369 1.378665
0.3409 1.226606
0.3449 1.089913
0.3489 0.973697
0.3529 0.887386
0.3569 0.825856
0.3609 0.776103
0.3649 0.711201
0.3689 0.660204
0.3729 0.643247
0.3769 0.620638
0.3809 0.592607
0.3849 0.625641
0.3889 0.664804
0.3929 0.653011
0.3969 0.673394
0.4009 0.637156
0.4049 0.692968
0.4089 0.689610
0.4129 0.743324
0.4169 0.716747
0.4209 0.785625
0.4249 0.760995
0.4289 0.815338
0.4329 0.817748
0.4370 0.845920
0.4410 0.815986
0.4450 0.880276
0.4490 0.855919
0.4530 0.891606
0.4570 0.914228
0.4610 0.959696
0.4650 0.933746
0.4690 0.946178
0.4730 1.013632
0.4770 0.980580
0.4810 0.958323
0.4850 0.977036
0.4890 0.953809
0.4930 0.938320
0.4970 0.922189
0.5010 0.901609
0.5050 0.853425
0.5090 0.754717
0.5130 0.751959
0.5170 0.729884
0.5210 0.688004
0.5250 0.675000
0.5290 0.614150
0.5330 0.596810
0.5370 0.559025
0.5411 0.494042
0.5451 0.449773
0.5491 0.424676
0.5531 0.399285
0.5571 0.402317
0.5611 0.350882
0.5651 0.328899
0.5691 0.303503
0.5731 0.275608
0.5771 0.248064
0.5811 0.209584
0.5851 0.200447
0.5891 0.173967
0.5931 0.147816
0.5971 0.120716
0.6011 0.162617
0.6051 0.100988
0.6091 0.124374
0.6131 0.106572
0.6171 0.122740
0.6211 0.116432
0.6251 0.130922
0.6291 0.079797
0.6331 0.149265
0.6371 0.137226
0.6411 0.116367
0.6452 0.141936
0.6492 0.124675
0.6532 0.151954
0.6572 0.151207
0.6612 0.136057
0.6652 0.193286
0.6692 0.189425
0.6732 0.217400
0.6772 0.225318
0.6812 0.195013
0.6852 0.220933
0.6892 0.228172
0.6932 0.237568
0.6972 0.280563
0.7012 0.264251
0.7052 0.330804
0.7092 0.253547
0.7132 0.283558
0.7172 0.293774
0.7212 0.286179
0.7252 0.336740
0.7292 0.294105
0.7332 0.308101
0.7372 0.314036
0.7412 0.263528
0.7452 0.294611
0.7493 0.263480
0.7533 0.263348
0.7573 0.284688
0.7613 0.228553
0.7653 0.278590
0.7693 0.207893
0.7733 0.227300
0.7773 0.209107
0.7813 0.258000
0.7853 0.270811
0.7893 0.219156
0.7933 0.143136
0.7973 0.230011
0.8013 0.194172
0.8053 0.178172
0.8093 0.194364
0.8133 0.142006
0.8173 0.146172
0.8213 0.123089
0.8253 0.159812
0.8293 0.125642
0.8333 0.142759
0.8373 0.147031
0.8413 0.124364
0.8453 0.119714
0.8493 0.193112
0.8534 0.138385
0.8574 0.137528
0.8614 0.139229
0.8654 0.152450
0.8694 0.122508
0.8734 0.099622
0.8774 0.100507
0.8814 0.109743
0.8854 0.072863
0.8894 0.086120
0.8934 0.051064
0.8974 0.081515
0.9014 0.046638
0.9054 0.076638
0.9094 0.049020
0.9134 0.063369
0.9174 0.036304
0.9214 0.095018
0.9254 0.037086
0.9294 0.050124
0.9334 0.043485
0.9374 0.088942
0.9414 0.048176
0.9454 0.083455
0.9494 0.037147
0.9535 0.051329
0.9575 0.039146
0.9615 0.054358
0.9655 0.033083
0.9695 0.037966
0.9735 0.025922
0.9775 0.030581
0.9815 0.030590
0.9855 -0.005840
0.9895 0.025105
0.9935 0.001666
0.9975 0.017596
1.0015 0.000000
1.0055 -0.026546
1.0095 0.000364
1.0135 -0.007788
1.0175 -0.016888
1.0215 -0.035996
1.0255 -0.016327
1.0295 -0.038256
1.0335 -0.040009
1.0375 -0.013314
1.0415 -0.053167
1.0455 -0.032602
1.0495 -0.021911
1.0535 -0.053092
1.0576 -0.042208
1.0616 -0.006608
1.0656 -0.079168
1.0696 -0.056449
1.0736 -0.052293
1.0776 -0.059378
1.0816 0.013956
1.0856 -0.017455
1.0896 -0.068597
1.0936 0.036194
1.0976 -0.013476
1.1016 0.011778
1.1056 -0.004788
1.1096 0.002064
1.1136 -0.003530
1.1176 -0.046840
1.1216 0.016131
1.1256 -0.052578
1.1296 0.024021
1.1336 0.014599
1.1376 0.005038
1.1416 -0.017959
1.1456 -0.007939
1.1496 -0.028375
1.1536 -0.055353
1.1576 0.042892
1.1617 -0.069096
1.1657 0.002025
1.1697 -0.056872
1.1737 -0.069038
1.1777 -0.084525
1.1817 -0.030285
1.1857 -0.033968
1.1897 -0.057003
1.1937 -0.088455
1.1977 -0.093772
1.2017 -0.118093
1.2057 -0.109794
1.2097 -0.095394
1.2137 -0.047109
1.2177 -0.094284
1.2217 -0.124625
1.2257 -0.120330
1.2297 -0.104100
1.2337 -0.139635
1.2377 -0.143387
1.2417 -0.096296
1.2457 -0.080001
1.2497 -0.092389
1.2537 -0.092665
1.2577 -0.069731
1.2617 -0.037847
1.2658 -0.080087
1.2698 -0.079484
1.2738 -0.089680
1.2778 -0.086838
1.2818 -0.089031
1.2858 -0.098586
1.2898 -0.129757
1.2938 -0.082832
1.2978 -0.030487
1.3018 -0.092133
1.3058 -0.079223
1.3098 -0.135042
1.3138 -0.102349
1.3178 -0.083794
1.3218 -0.099993
1.3258 -0.069631
1.3298 -0.101103
1.3338 -0.118776
1.3378 -0.102745
1.3418 -0.078758
1.3458 -0.057389
1.3498 -0.108832
1.3538 -0.061095
1.3578 -0.115066
1.3618 -0.064346
1.3659 -0.097572
1.3699 -0.123761
1.3739 -0.114625
1.3779 -0.117287
1.3819 -0.142019
1.3859 -0.145633
1.3899 -0.117571
1.3939 -0.122381
1.3979 -0.139132
1.4019 -0.128936
1.4059 -0.172413
1.4099 -0.119563
1.4139 -0.108050
1.4179 -0.142039
1.4219 -0.091509
1.4259 -0.155332
1.4299 -0.131580
1.4339 -0.163200
1.4379 -0.174112
1.4419 -0.153312
1.4459 -0.190309
1.4499 -0.128421
1.4539 -0.155121
1.4579 -0.278107
1.4619 -0.177334
1.4659 -0.180666
1.4700 -0.211369
1.4740 -0.201493
1.4780 -0.175773
1.4820 -0.215501
1.4860 -0.153633
1.4900 -0.225597
1.4940 -0.192036
1.4980 -0.226934
1.5020 -0.186708
1.5060 -0.180413
1.5100 -0.166386
1.5140 -0.160610
1.5180 -0.203978
1.5220 -0.200803
1.5260 -0.190658
1.5300 -0.221882
1.5340 -0.185386
1.5380 -0.218715
1.5420 -0.184022
1.5460 -0.174019
