# Na -- Na in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2073 12.300591
0.2113 10.188188
0.2153 8.827739
0.2193 7.842308
0.2233 6.994341
0.2273 6.114413
0.2313 5.277538
0.2353 4.512989
0.2393 3.856024
0.2433 3.403569
0.2473 3.131084
0.2513 2.930116
0.2553 2.791591
0.2593 2.658118
0.2633 2.428581
0.2673 2.243170
0.2713 1.979290
0.2753 1.719055
0.2793 1.417800
0.2833 1.181262
0.2873 0.953675
0.2913 0.702039
0.2953 0.482838
0.2993 0.258543
0.3033 0.051546
0.3073 -0.155690
0.3113 -0.352391
0.3153 -0.547203
0.3193 -0.702968
0.3233 -0.811413
0.3273 -0.930013
0.3313 -1.033321
0.3353 -1.199050
0.3393 -1.297380
0.3433 -1.382463
0.3473 -1.460837
0.3513 -1.562095
0.3553 -1.654309
0.3593 -1.695329
0.3633 -1.780348
0.3673 -1.769739
0.3713 -1.797846
0.3753 -1.691879
0.3793 -1.661096
0.3833 -1.582504
0.3873 -1.533720
0.3913 -1.376868
0.3953 -1.298399
0.3993 -1.194040
0.4033 -1.084813
0.4073 -1.061442
0.4113 -0.944297
0.4153 -0.924904
0.4193 -0.900905
0.4233 -0.794769
0.4273 -0.770351
0.4313 -0.731166
0.4353 -0.691973
0.4393 -0.654981
0.4433 -0.577513
0.4473 -0.531062
0.4513 -0.506670
0.4553 -0.459440
0.4593 -0.353332
0.4633 -0.285619
0.4673 -0.180854
0.4713 -0.143819
0.4753 0.010859
0.4793 0.080566
0.4833 0.194823
0.4873 0.304676
0.4913 0.373661
0.4953 0.423355
0.4993 0.477797
0.5033 0.494506
0.5073 0.552107
0.5113 0.560201
0.5153 0.512425
0.5193 0.500442
0.5233 0.446989
0.5273 0.392974
0.5313 0.341226
0.5353 0.299064
0.5393 0.296450
0.5433 0.279139
0.5473 0.242403
0.5513 0.171057
0.5553 0.070396
0.5593 0.051944
0.5633 0.033596
0.5673 -0.003045
0.5713 -0.041945
0.5753 -0.065258
0.5793 -0.066861
0.5833 -0.085952
0.5873 -0.114360
0.5913 -0.120181
0.5953 -0.095455
0.5993 -0.137041
0.6033 -0.142619
0.6073 -0.172802
0.6113 -0.192804
0.6153 -0.162039
0.6193 -0.141427
0.6233 -0.154259
0.6273 -0.125850
0.6313 -0.142535
0.6353 -0.136607
0.6393 -0.123264
0.6433 -0.129595
0.6473 -0.112667
0.6513 -0.090061
0.6553 -0.105424
0.6593 -0.094151
0.6633 -0.071094
0.6673 -0.061533
0.6713 -0.036780
0.6753 -0.023557
0.6793 -0.009356
0.6833 0.012845
0.6873 0.018685
0.6913 0.034093
0.6953 0.052960
0.6993 0.065676
0.7033 0.062261
0.7073 0.110255
0.7113 0.049902
0.7153 0.089834
0.7193 0.102549
0.7233 0.102610
0.7273 0.089282
0.7313 0.088883
0.7353 0.046780
0.7393 0.087893
0.7433 0.091906
0.7473 0.054372
0.7513 0.052367
0.7553 0.039187
0.7593 0.040950
0.7633 0.055524
0.7673 -0.014926
0.7713 -0.001583
0.7753 0.034781
0.7793 0.011408
0.7833 -0.004502
0.7873 -0.067432
0.7913 -0.008419
0.7953 -0.034709
0.7993 -0.021576
0.8033 -0.018001
0.8073 -0.013423
0.8113 0.010722
0.8153 -0.017308
0.8193 -0.039234
0.8233 -0.022591
0.8273 -0.035843
0.8313 -0.034088
0.8353 -0.015905
0.8393 0.010352
0.8433 -0.050521
0.8473 0.019199
0.8513 -0.005614
0.8553 -0.051336
0.8593 0.000439
0.8633 -0.036271
0.8673 -0.065115
0.8713 -0.032871
0.8753 -0.000019
0.8793 -0.022209
0.8833 0.007238
0.8873 0.002641
0.8913 -0.031669
0.8953 -0.031418
0.8993 -0.011044
0.9033 -0.022367
0.9073 -0.035620
0.9113 0.031706
0.9153 -0.003789
0.9193 -0.024822
0.9233 -0.011942
0.9273 -0.063651
0.9313 -0.022584
0.9353 0.017679
0.9393 0.044931
0.9433 0.016900
0.9473 0.050851
0.9513 -0.008638
0.9553 -0.018350
0.9593 -0.000622
0.9633 -0.018510
0.9673 -0.022226
0.9713 -0.031035
0.9753 -0.051580
0.9793 -0.037090
0.9833 -0.035202
0.9873 0.021132
0.9913 -0.086207
0.9953 -0.105879
0.9993 0.000000
1.0033 -0.060920
1.0073 -0.058320
1.0113 -0.070794
1.0153 -0.095243
1.0193 -0.098948
1.0233 -0.106692
1.0273 -0.036609
1.0313 -0.056614
1.0353 -0.086250
1.0393 -0.069495
1.0433 -0.052377
1.0473 -0.068747
1.0513 -0.051847
1.0553 -0.075442
1.0593 -0.026496
1.0633 0.004002
1.0673 -0.056333
1.0713 -0.067670
1.0753 -0.041596
1.0793 -0.024809
1.0833 -0.048564
1.0873 -0.108627
1.0913 -0.063900
1.0953 -0.083483
1.0992 -0.111500
1.1032 -0.087809
1.1072 -0.106334
1.1112 -0.092444
1.1152 -0.080451
1.1192 -0.120537
1.1232 -0.077636
1.1272 -0.083486
1.1312 -0.089289
1.1352 -0.081911
1.1392 -0.079027
1.1432 -0.086643
1.1472 -0.098598
1.1512 -0.063779
1.1552 -0.078417
1.1592 -0.072440
1.1632 -0.085977
1.1672 -0.118924
1.1712 -0.072557
1.1752 -0.058303
1.1792 -0.128418
1.1832 -0.112883
1.1872 -0.102571
1.1912 -0.060321
1.1952 -0.116300
1.1992 -0.067827
1.2032 -0.058161
1.2072 -0.142769
1.2112 -0.107439
1.2152 -0.067309
1.2192 -0.080015
1.2232 -0.046514
1.2272 -0.107508
1.2312 -0.083684
1.2352 -0.095424
1.2392 -0.072390
1.2432 -0.133115
1.2472 -0.102522
1.2512 -0.087344
1.2552 -0.107538
1.2592 -0.100500
1.2632 -0.085955
1.2672 -0.098483
1.2712 -0.093050
1.2752 -0.121207
1.2792 -0.116004
1.2832 -0.074288
1.2872 -0.100172
1.2912 -0.061377
1.2952 -0.086704
1.2992 -0.077959
1.3032 -0.096528
1.3072 -0.072084
1.3112 -0.087213
1.3152 -0.084519
1.3192 -0.042569
1.3232 -0.068080
1.3272 -0.090639
1.3312 -0.047676
1.3352 -0.099126
1.3392 -0.055546
1.3432 -0.073049
1.3472 -0.107669
1.3512 -0.125906
1.3552 -0.082427
1.3592 -0.056158
1.3632 -0.073737
1.3672 -0.163598
1.3712 -0.086298
1.3752 -0.127619
1.3792 -0.122894
1.3832 -0.131552
1.3872 -0.115739
1.3912 -0.118067
1.3952 -0.137311
1.3992 -0.141531
1.4032 -0.111521
1.4072 -0.105377
1.4112 -0.069695
1.4152 -0.129079
1.4192 -0.121655
1.4232 -0.092656
1.4272 -0.080895
1.4312 -0.088718
1.4352 -0.093096
1.4392 -0.018951
1.4432 -0.074078
1.4472 -0.088670
1.4512 -0.085337
1.4552 -0.073569
1.4592 -0.110818
1.4632 -0.077589
